"Gene","log2FC","MYB3|ABA","MYB3|EtOH","ABF1|ABA","ABF1|EtOH","FBH3|ABA","FBH3|EtOH","NFYC2|ABA","NFYC2|EtOH","ANAC032|ABA","ANAC032|EtOH","HB6|ABA","HB6|EtOH","GBF3|ABA","GBF3|EtOH","HB7|ABA","HB7|EtOH","ABF4|ABA","ABF4|EtOH","GBF2|ABA","GBF2|EtOH","RD26|ABA","RD26|EtOH","ABF3|ABA","ABF3|EtOH","HAT22|ABA","HAT22|EtOH","ZAT6|ABA","ZAT6|EtOH","AT5G04760|ABA","AT5G04760|EtOH","DREB2A|ABA","DREB2A|EtOH","HSFA6A|ABA","HSFA6A|EtOH","NFYB2|ABA","NFYB2|EtOH","ANAC102|ABA","ANAC102|EtOH","HB5|ABA","HB5|EtOH","MYB44|ABA","MYB44|EtOH"
"AT5G03860",0.284280952215617,0,0,0,0,0,0,0,0,1.224895990898,1.27061930614203,0,0,0,0,1.97589464544407,0,0,0,0,0,1.22073857583617,1.18075605533959,0,0,0,0,0,0,2.66300973057378,2.4900470582581,0,0,0,0,0,1.332923871838,1.21473093752172,1.22620410062917,0,0,0,0
"AT5G03890",-1.16374493267493,0,0,1.57407489805951,1.20072215160222,0,0,2.19151226011175,2.15902089950963,1.40338554637535,1.13882017178693,1.48272548867539,0,1.513514162424,1.58433392281109,1.40172021788771,0,1.12178194094325,1.172271568818,1.17437593217747,1.16370059744521,0.735320941401805,0.897402698896427,1.08384125116412,1.09269870543731,0,0,0,0,0,0,0,0,0,0,2.22974998890175,3.23529443664123,1.32158662288116,1.22812229621363,0,0,0.852575474860167,0
"AT5G03960",-0.112831703129927,0,0,0,0,0,0,0,0,0,0,1.67753566235039,1.6867099080616,0,0,0,0,0,0,0,1.56499392251974,0,0,0,0,1.68539774344627,1.7156290931045,0,0,0,0,0,0,0,0,0,0,0,0,1.86379744555301,2.04139815364219,0,0
"AT5G04000",2.02249380317559,0,0,3.13350068662227,0,0,0,2.62100973875473,2.26117626901252,2.01786357611405,0,0,0,4.15661372316728,3.96151962147719,2.32642178516621,0,3.02513603138457,2.68487706893302,3.65937776983745,3.44607213050379,2.33107928468355,0,3.08042975933753,2.61758404730527,1.88314730073855,1.39110377034479,2.60895206981515,0,2.60088338299701,2.1139364332254,0,0,0,0,5.89882926343673,3.34844677163258,2.01217308311773,0,0,0,2.61485294376168,0
"AT5G04010",5.01587493226619,0,0,2.22761212593563,0,0,0,1.79300498223121,1.55201147833199,1.40734645261699,0,0,0,2.82648550047143,2.20318909399945,1.71257492034716,0,2.13960819578813,1.85763023683852,2.49002593159882,2.36529260234876,1.70915319337402,0,2.15560002678765,1.86373978527423,1.36516842127603,0.930931896537397,1.88378296076389,0,2.03165584958852,1.66011213434872,0,0,0,0,5.10185013830052,2.29675346324802,1.42506193216403,0,0,0,1.85189207609722,0
"AT5G04080",1.00904203777798,0,0,0,0,0,0,0,0,0,0,0,0,0.927327781157696,0.782068199645599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33031388209424,0,0,0,0,0,0,0
"AT5G04120",2.69814464991159,1.3554877463187,1.14807055532434,1.82463754085076,0,0,0,1.5055741459444,0,1.75406789840614,0,2.15264678246791,1.80250390341246,2.55085775156973,2.32788708988984,1.91572530798137,1.53283290364451,1.34250186183855,1.06496126847024,1.64400836612761,1.55035426237862,1.52623101198126,1.13296692946399,1.39182534915162,1.25546647391297,1.76853374355354,1.79585662629181,1.74119564161264,1.59597752127893,1.23918928126841,1.18766778962037,0,0,0,0,4.02290995148506,2.45973906413456,1.63037207768207,1.36745230493331,2.23272606258898,1.83216080717554,1.68134869106798,1.47179605510894
"AT5G04220",1.31877196389956,1.71489973294667,0,2.58023684934605,0,0,0,2.52649508866958,1.79052199719367,2.25497161548297,0,2.229024426984,1.95350803278815,3.05788655680137,2.58523774953597,2.570793304644,1.75369881775978,1.81666351559745,1.57938186017168,1.8513389294015,1.76131466839572,1.84944418035991,1.68230363584745,1.94376487082736,1.7496951189754,2.04063064854082,0,2.26185321374705,0,1.79021355786369,1.59863026873873,0,0,0,0,5.53002759285801,2.77219812121804,2.38247176072565,1.69860245731542,1.98972818569699,1.79949702605382,1.92084876670607,0
"AT5G04250",2.23423655163949,0,0,2.70809675982553,0,0,0,3.70958931493267,3.19721949003899,2.67843391182597,0,2.08238524035032,0,3.93513061178351,3.9964955260755,2.16562875432274,0,2.10211373360935,2.58476589896385,3.06224652133367,2.88038365279956,2.31697609996376,2.40192605192719,2.23358238107874,2.69681168619185,2.05162442193,0,2.33224891541644,0,2.1535628873588,0,2.58131393641159,0,0,0,4.79890216932579,3.54920511903618,2.72138432132424,1.58156693827811,1.44579380879254,0,1.9600916043132,0
"AT5G04310",-0.720289829690655,1.24926055161478,1.17562647470463,0,0,0,1.22610261032225,0,1.23759980479849,1.1383775095393,0,1.21513342572212,1.29705655831735,2.07625789751535,2.03083390259806,1.31438532959832,0,1.22957459536951,1.24331329905016,1.30522135811662,2.11715880065901,1.21028260013817,1.45584298843113,1.25252649307515,1.44819387926866,1.2702929263369,1.30922298631299,0,2.54131614666017,1.32837983781688,1.56092206140596,0,0,0,0,2.05529411097169,1.67569714756456,0,0,1.14981839371502,1.29951998291788,1.7125030283367,1.67722659105088
