"PlantID","Genotype","Treatment","FW","side.area.norm..mm.2.","side.border.length.norm..mm.","side.compactness.01..relative.","side.compactness.16..relative.","side.fluo.intensity.average..relative.","side.fluo.intensity.classic.sum","side.height.norm..mm.","side.hull.circumcircle.d..px.","side.hull.fillgrade..percent.","side.hull.pc1","side.hull.pc2","side.leaf.count..leafs.","side.leaf.length.average.norm","side.leaf.length.sum.norm..mm.","side.leaf.width.average.norm","side.nir.intensity.average..relative.","side.nir.skeleton.intensity.average..relative.","side.vis.hue.average","side.width.norm..mm.","side.width.norm.relative","side.width.relative","top.area..px.","top.border.length..px.","top.compactness.01..relative.","top.compactness.16..relative.","top.fluo.intensity.average..relative...pix.","top.fluo.intensity.classic.sum","top.hull.circumcircle.d..px.","top.hull.fillgrade..percent.","top.hull.pc2","top.leaf.count","top.leaf.length.average","top.nir.intensity.average..relative...pix.","top.nir.intensity.sum","top.vis.hue.average","volume.fluo.iap"
"1137KN038","Perun","control",98.1,121161.76,19037.02911,0.004756978,3085.666667,0.249515227,3581568.667,815.8961187,962.3492635,0.281796218,1091,718.2818278,22,308.5343697,6820.90468,37.19448834,0.503439885,0.512119967,0.225346681,704.3093607,0.916352815,0.917924603,277465,25664,0.005295563,2373,0.516333698,33781405,1671.515747,0.222437696,1107.721584,23,459,0.583529812,1458241,0.258349415,65835430.85
"1137KN039","Perun","control",116.66,139251.3778,20208.03368,0.004742201,2956.666667,0.253132478,4286468.667,847.7311644,1050.341268,0.284078004,1277.666667,772.1678271,19.66666667,380.4846238,7215.724886,37.93373026,0.504450316,0.536928082,0.225270846,787.6712329,1.009797411,1.011529482,354859,28888,0.005345117,2351,0.538720693,45851167,1936.409424,0.302272116,875.5433168,36,333,0.62230263,2107683,0.255038598,85569189.42
"1137KN040","Perun","control",116.09,134666.0421,19766.60959,0.00479625,2922,0.261839396,4564311,788.9840183,898.8411865,0.357761297,1194.333333,680.5738681,25.33333333,280.6947011,6700.784817,39.16328457,0.498599992,0.502352711,0.224936322,591.4098174,0.939771757,0.941383715,343745,26474,0.006166031,2038,0.537995852,44419494,1606.385132,0.345788089,782.7755933,24,477,0.60253509,1937789,0.252531399,81445350.39
"1137KN041","Perun","control",121.94,148950.0576,23630.13699,0.003387506,3754.333333,0.252282615,4690621.333,851.3413242,1002.704631,0.278850219,1151,855.2470745,25,361.4610927,8895.43379,34.98137636,0.496910091,0.452120546,0.225595859,744.3493151,0.921591882,0.923172657,377632,35498,0.003766898,3336,0.516485579,46201191,1872.927856,0.25121113,1301.666323,40,355,0.61409574,2152860,0.253546354,94420234.47
"1137KN042","Perun","control",107.69,135500.0627,19889.68322,0.005203707,3000.333333,0.261252727,4618416,845.43379,1011.796061,0.298323977,924.3333333,779.6878917,23.33333333,327.1008655,6774.957192,40.62316206,0.494085332,0.474713795,0.224274741,662.6284247,1.017318479,1.01906345,310795,28571,0.004785366,2626,0.522764637,38282833,1691.810791,0.278136865,936.3093254,33,341,0.613575857,1775529,0.257659284,77923152.2
"1137KN043","Perun","control",111.02,145748.7242,22062.01484,0.004263757,3378.333333,0.260779333,4910789.667,894.0068493,1032.303691,0.286557057,805.6666667,803.3658428,25.33333333,354.1181481,8172.417237,36.66656548,0.493236155,0.458052738,0.225569934,721.7037671,1.00475022,1.006473634,349493,31993,0.004291793,2928,0.54411287,45424139,1756.869751,0.251699637,1338.378003,27,510,0.619086366,2006332,0.255970563,88882038.7
"1137KN044","Perun","control",112.43,142055.574,21561.51541,0.004245131,3315,0.259682692,4678974.333,678.7100457,880.4664714,0.376513994,1355,737.7685993,26.66666667,295.7615386,7805.821918,36.66876803,0.492208044,0.439003167,0.224893291,638.0136986,0.983856273,0.985543848,345020,31608,0.004340715,2895,0.541839132,44720635,1643.153931,0.299998478,1030.561173,25,566,0.616900273,2049901,0.253686496,86073689.56
"1137KN045","Perun","control",106.27,128279.5323,18168.29338,0.00494805,2587,0.261264784,4327019.667,777.4971461,970.2670288,0.28986596,1103,771.9054937,24.33333333,267.7815601,6456.934932,39.07243234,0.493636418,0.442688123,0.224753394,711.201484,1.084262557,1.086122356,320945,30536,0.004325773,2905,0.544686131,41950858,1556.508057,0.246656122,1353.031142,22,564,0.619211636,1834786,0.255295921,74965713.66
"1137KN046","Perun","stress",68.66,97186.49699,15594.24943,0.005124465,2504,0.266300038,3529710.667,788.3276256,902.914388,0.243538332,995,679.0485285,23.33333333,243.835982,5611.829338,37.00699144,0.495273007,0.463793134,0.225078484,649.1723744,1.101103866,1.102992552,243420,23537,0.005523679,2275,0.580911118,34417799,1556.373413,0.195460455,1110.631809,35,286,0.601259784,1610793,0.27353855,49462272.13
"1137KN047","Perun","stress",68.43,97720.96811,15421.61815,0.00516404,2435,0.26471606,3502622.333,848.3875571,936.2017008,0.247042748,1179.666667,652.4342885,22,255.184829,5611.501142,36.2759224,0.500783901,0.50880202,0.224277499,633.0907534,0.985412208,0.987102452,236223,21943,0.006166031,2038,0.583229937,33686113,1344.159424,0.219522599,1268.207008,23,382,0.600967958,1546567,0.275014475,48993544.03
"1137KN048","Perun","stress",67.07,94350.95642,14936.54395,0.005420169,2371.333333,0.276826308,3795139.667,824.7574201,862.8059489,0.241951974,1003.333333,659.9184784,21.66666667,265.1825783,5532.734018,36.88971944,0.494499648,0.435843748,0.226530914,607.163242,0.999691198,1.001405935,233594,22476,0.005812382,2162,0.570906921,32300077,1398.137817,0.204589634,1073.124353,26,386,0.58284941,1533232,0.266867714,47039982.71
"1137KN049","Perun","stress",69.07,89443.45161,14062.22888,0.005839639,2212,0.273676928,3491852.333,790.2968037,822.3758545,0.262882881,1014.333333,597.567467,19.33333333,278.209419,5044.70605,36.76168959,0.498545788,0.476985814,0.225865601,605.8504566,0.956046845,0.95768672,261877,24805,0.005349668,2349,0.575565164,36592683,1598.578613,0.251525228,997.7443874,29,374,0.598750669,1710948,0.266816956,47215787.07
"1137KN050","Perun","stress",71.05,96994.87584,15763.27055,0.005055456,2573.333333,0.272934043,3729891,805.0656393,881.9520467,0.217177559,1047.333333,791.0663489,25.66666667,236.4485319,6069.991438,36.10710213,0.489447734,0.398225143,0.225788982,707.5913242,1.027364178,1.029126381,255300,24529,0.005333774,2356,0.573285577,35375457,1519.938477,0.210283722,1141.592212,23,412,0.596942989,1739271,0.267242247,50555010.36
"1137KN051","Perun","stress",64,90715.64799,16002.19749,0.004477183,2823.666667,0.259879993,3087714,883.1763699,912.6585897,0.211694019,990.6666667,679.8211133,24.33333333,252.5074644,5970.876142,34.79370136,0.489836796,0.41640755,0.223633613,648.5159817,0.9765337,0.978208715,241658,23449,0.005523679,2275,0.570071414,33502062,1456.076538,0.198766725,1225.394343,36,281,0.596835269,1663926,0.278034691,46001585.5
"1137KN052","Perun","stress",66.59,94153.19564,15290.01142,0.005115936,2487,0.257074611,3076817,864.7973744,894.1036987,0.246303439,996.6666667,629.447022,25.33333333,229.0499467,5396.860731,36.97873709,0.497478994,0.502767006,0.224569606,605.1940639,0.972865311,0.974534034,224814,22002,0.005836679,2153,0.57277549,31358646,1441.362061,0.203710416,1291.902611,26,364,0.598790205,1502179,0.27767572,46050754.08
"1137KN209","Eunova","stress",66.07,93656.85486,15237.8282,0.005344588,2492,0.248072307,2820374,847.402968,912.5428467,0.206811255,1183.666667,745.9747442,19.66666667,267.836718,5323.016553,38.80635569,0.497809746,0.499661426,0.218200723,747.9594749,1.202185729,1.204247797,239471,25749,0.004539874,2768,0.515020092,29127017,1635.525635,0.180255934,1228.837691,27,370,0.598393218,1989309,0.254666678,47277667.08
"1137KN210","Eunova","stress",62.09,83733.59385,12636.87215,0.006719086,1913.333333,0.24921997,2504656,783.7328767,899.5257161,0.197454095,881.3333333,795.7199982,19,252.0679428,4622.645548,38.13043002,0.497011599,0.483763039,0.220253832,780.4509132,1.012363976,1.014100449,218304,24213,0.004680213,2685,0.525190219,27130591,1711.121094,0.177008745,1114.177311,28,293,0.593648877,1489281,0.258175973,40357158.74
"1137KN211","Eunova","stress",63.82,86337.76723,13419.62043,0.006434626,2104.666667,0.252652483,2696445,840.5108447,915.0501302,0.202631922,1051.666667,713.5529329,16,301.2718358,4736.857877,38.46776551,0.50291186,0.492608194,0.221765193,696.1044521,1.138218092,1.140170438,213295,22144,0.005468395,2298,0.52461594,26592731,1495.337036,0.206417279,1093.342818,26,323,0.596407538,1399020,0.256180911,41132125.82
"1137KN212","Eunova","stress",62.87,85629.44758,13469.17808,0.006004094,2126.666667,0.24609551,2526418,795.2197489,880.7218221,0.22342435,1160,769.3482725,21.33333333,214.5025969,4574.400685,39.24986642,0.501090657,0.496237311,0.216280311,694.135274,1.002259599,1.003978741,218570,22711,0.005326991,2359,0.537651257,28338690,1461.772339,0.170467485,1236.373729,27,325,0.591868478,1533111,0.250149839,41296041.46
"1137KN213","Eunova","stress",64.72,90854.9207,14717.30879,0.00539951,2395.666667,0.24351326,2598097.667,785.3738584,887.6370443,0.215656605,1022.333333,782.1508911,20.66666667,267.2448575,5225.214041,37.9898868,0.50008751,0.496852224,0.219199707,689.5405251,1.054018514,1.055826436,235369,27958,0.003785051,3320,0.520217691,29068293,1645.02002,0.19063822,1247.019263,28,306,0.609920265,1680187,0.253189275,45468757.81
"1137KN214","Eunova","stress",65.52,89058.27049,14759.64612,0.005199068,2450.666667,0.246059779,2696419,811.6295662,872.1108805,0.208679011,1051.666667,743.5067016,22.33333333,245.9094368,5465.125571,35.93599766,0.496062021,0.481633988,0.21759786,699.7146119,1.084502702,1.086362913,242101,26054,0.004483186,2803,0.535316349,31289525,1527.365356,0.195973851,1239.718435,37,262,0.606229434,1546658,0.253711494,45202510.25
"1137KN215","Eunova","stress",67.76,88521.21426,13304.09532,0.00652172,2007.666667,0.24986954,2751668.667,762.0719178,868.8995158,0.206296547,985.6666667,800.1798652,22.66666667,215.3682871,4832.034817,38.40689898,0.500992899,0.481570469,0.216174665,734.5034247,0.984566862,0.986255655,241220,26129,0.004440414,2830,0.536759122,31009108,1562.590332,0.167566312,1269.688688,20,419,0.602102117,1599692,0.252003806,44848097.44
