Gene,Name,Cluster,AP1_S4,AP1_S6,AP3_S4,AP3_S6,AG_S4,AG_S6
AT3G52070,AT3G52070,Unknown,9.315,8.6,6.425,7.78,3.055,4.615
AT3G52090,NRPE11,Unknown,276.995,251.84,173.08,234.245,87.785,101.48
AT3G52105,AT3G52105,AP1_AP3,71.355,58.785,21.055,40.265,7.45,11.125
AT3G52140,NOXY38,Unknown,10.215,11.95,20.225,21.65,23.865,21.695
AT3G52290,IQD3,Unknown,10.63,10.91,11.675,17.825,8.105,7.96
AT3G52300,ATPQ,Unknown,491.68,379.37,256.905,340.49,217.94,250.485
AT3G52450,PUB22,Unknown,0.475,0.68,0.16,0.25,1.55,0.605
AT3G52480,AT3G52480,AP1_AP3,14.86,21.75,14,14.845,2.59,2.575
AT3G52490,SMXL3,Unknown,0.395,0.93,0.72,1.095,2.12,2.785
AT3G52530,AT3G52530,Unknown,6.085,5.46,1.745,3.305,0.995,0.95
AT3G52535,NA,Unknown,1.3,0.275,0,0.25,0.285,0
AT3G52540,OFP18,Unknown,4.685,6.89,3.28,5.075,1.15,1.74
AT3G52550,AT3G52550,Unknown,0,0,0,0,0.515,0.5
AT3G52590,UBQ1,Unknown,1553.95,845.98,986.34,1502.405,716.45,693.02
AT3G52605,NA,Unknown,9.285,7.73,19.79,16.3,17.51,23.02
AT3G52670,AT3G52670,Unknown,0.105,0,0,0.175,0.395,0.395
AT3G52720,CAH1,Unknown,0.55,0.97,0.13,0.25,0.975,1.12
AT3G52730,AT3G52730,Unknown,225.055,164.375,120.255,152.16,79.98,106.17
AT3G52800,AT3G52800,Unknown,380.16,353.36,441.05,337.065,232.1,148.39
AT3G52905,AT3G52905,Unknown,18.02,14.36,11.475,14.625,8.5,7.54
AT3G53020,STV1,Unknown,1053.615,604.375,458.225,864.925,408.99,360.9
AT3G53160,UGT73C7,Unknown,0.33,0.54,0.56,0.67,1.83,0.54
AT3G53190,AT3G53190,Unknown,93.675,89.265,87.69,60.545,120.24,122.205
AT3G53210,UMAMIT6,Unknown,7.08,6.555,3.515,5.49,3.86,3.885
AT3G53220,AT3G53220,Unknown,16.73,10.005,6.285,11.755,4.71,6.84
AT3G53230,AtCDC48B,Unknown,1.245,3.18,1.495,1.15,3.41,2.18
AT3G53235,AT3G53235,Unknown,0.52,0.61,0,1.045,2.185,2.735
AT3G53310,AT3G53310,Unknown,28.71,37.975,18.87,26.625,12.96,33.71
AT3G53360,AT3G53360,Unknown,0.66,1.01,2.165,1.385,1.995,1.68
AT3G53400,AT3G53400,Unknown,8.625,8.67,5.665,9.335,4.04,4.3
AT3G53402,CPuORF46,Unknown,8.625,8.67,5.665,9.335,4.04,4.3
AT3G53410,LUL2,Unknown,13.85,23.96,11.82,12.54,10.35,10.92
AT3G53450,LOG4,Unknown,11.085,8.86,7.33,5.015,17.545,9.895
AT3G53460,CP29,Unknown,223.5,289.315,456.66,330.805,677.77,611.985
AT3G53480,PIS1,Unknown,0,0.135,0,0.06,0.19,0.08
AT3G53490,AT3G53490,Unknown,4.79,4.67,3.15,4,1.985,4.355
AT3G53680,AT3G53680,Unknown,1.83,3.09,5.605,4.995,5.13,6.435
AT3G53720,CHX20,AP3_AG,0.325,0.24,1.11,0.825,3.38,3.835
AT3G53730,AT3G53730,Unknown,903.845,465.85,923.215,1211.98,416.57,513.25
AT3G53810,LecRK-IV.2,Unknown,5.01,4.705,4.37,4.63,4.37,2.09
AT3G53860,AT3G53860,Unknown,17.515,12.85,16.425,16.74,7.03,8.915
AT3G53890,AT3G53890,Unknown,639.335,273.945,242.59,464.675,156.75,146.6
AT3G53950,AT3G53950,Unknown,18.485,14.87,26.625,17.025,9.045,12.575
AT3G53980,AT3G53980,Unknown,85.445,51.675,10.34,6.205,6.41,12.64
AT3G54000,AT3G54000,AP3,20.035,28.83,75.215,42.515,37.03,19.945
AT3G54040,AT3G54040,Unknown,0.21,0.315,0,0.035,0.92,0.8
AT3G54050,HCEF1,Unknown,26.64,39.92,28.175,15.675,128.24,121.765
AT3G54085,AT3G54085,Unknown,18.09,6.81,2.445,7.75,0.92,0.93
AT3G54200,AT3G54200,Unknown,25.74,29.085,21.245,18.415,15.425,9.45
AT3G54230,SUA,Unknown,11.185,19.635,30.48,20.945,31.835,29.885
AT3G54280,RGD3,Unknown,2.25,3.79,5.84,5.745,9.105,8.26
AT3G54300,VAMP727,Unknown,59.935,49.985,36.64,55.5,27,34.95
AT3G54320,WRI1,Unknown,22.87,20.31,18.555,31.75,14.445,12.625
AT3G54340,AP3,AP3,315.465,271.875,757.61,840.635,200.08,226.845
AT3G54600,DJ1F,Unknown,14.25,9.77,7.88,6.77,13.33,14.105
AT3G54690,SETH3,Unknown,27.5,19.92,17.195,19.495,13.665,15.26
AT3G54780,AT3G54780,Unknown,2.36,2.945,1.82,2.055,3.445,4.12
AT3G54826,ZR3,Unknown,104.405,77.79,66.41,73.11,45.845,43.495
AT3G54840,RABF1,Unknown,80.07,70.565,49.11,70.31,33.315,39.535
AT3G54890,LHCA1,AG,481.605,627.57,647.14,485.005,1032.965,1182.555
AT3G54900,CXIP1,Unknown,43.66,40.5,22.38,36.595,18.41,24.195
AT3G54950,pPLAIIIbeta,Unknown,42.68,28.695,19.635,22.635,19.04,17.59
AT3G55020,AT3G55020,Unknown,12.39,16.145,22.245,20.72,26.075,28.05
AT3G55110,ABCG18,AG,17.025,25.555,22.485,18.11,39.05,40.49
AT3G55160,AT3G55160,Unknown,0.935,0.835,2.245,1.6,2.455,2.62
AT3G55200,SAP130a,Unknown,11.905,16.025,28.12,23.3,43.655,43.325
AT3G55220,SAP130b,Unknown,10.45,19.445,35.615,23.445,33.97,33.76
AT3G55240,AT3G55240,AP1,68.985,42.845,11.71,21.44,10.805,15.27
AT3G55410,AT3G55410,Unknown,21.62,26.73,35.025,32.3,53.02,51.715
AT3G55470,AT3G55470,Unknown,28.145,41.435,38.115,22.855,18.9,19.72
AT3G55480,WAT1,Unknown,4.96,6.515,7.81,7.725,11.115,12.155
AT3G55490,AT3G55490,Unknown,21.86,14.885,12.025,20.915,9.25,12.39
AT3G55500,EXPA16,Unknown,0.615,0.265,1.57,0.28,4.785,2.41
AT3G55560,AHL15,AP3,44.77,35.43,151.94,72.52,82.895,47.1
AT3G55580,AT3G55580,Unknown,1.3,2.825,4.625,2.165,4.44,3.065
AT3G55600,AT3G55600,Unknown,11.165,8.81,9.615,13.755,5.195,4.955
AT3G55630,FPGS3,Unknown,2.15,1.65,3.365,3.525,16.4,12.915
AT3G55700,AT3G55700,Unknown,0.73,0.875,0.35,0.16,1.4,0.64
AT3G55710,AT3G55710,Unknown,4.25,4.54,2.265,1.655,7.455,8.77
AT3G55740,PROT2,Unknown,9.61,9.61,4.56,7.57,5.355,5.145
AT3G55770,WLIM2b,Unknown,108.095,88.6,75.03,96.815,48.435,56.015
AT3G55940,AT3G55940,Unknown,0.205,0.235,0.08,0.08,0.445,0.405
AT3G55970,JRG21,Unknown,1.445,1.265,0.365,0.225,1.625,2.065
AT3G55990,TBL29,Unknown,0.135,0.285,0.445,0.36,1.635,1.195
AT3G56010,AT3G56010,Unknown,28.295,32.535,12.955,18.74,17.01,18.91
AT3G56030,AT3G56030,Unknown,2.325,3.015,4.76,4.125,7.55,4.7
AT3G56060,AT3G56060,Unknown,1.025,1.92,0.85,0.47,2.515,3.455
AT3G56150,TIF3C1,Unknown,61.75,74.85,108.245,101.14,175.285,168.4
AT3G56160,AT3G56160,Unknown,9.81,9.76,17.245,11.26,22.105,18.64
AT3G56170,CAN1,Unknown,12.09,14.295,6.105,8.41,5.295,7.03
AT3G56210,AT3G56210,AP1,13.06,10.415,4.865,8.845,4.27,4.765
AT3G56240,CCH,Unknown,19.25,12.11,7.295,6.005,6.705,10.715
AT3G56350,AT3G56350,Unknown,0,0,0,0.11,0,0
AT3G56360,AT3G56360,Unknown,35.49,43.135,46.635,37.77,76.545,51.08
AT3G56490,HIT3,Unknown,166.775,87.08,57.805,101.14,50.56,45.51
AT3G56590,AT3G56590,Unknown,16.06,31.435,41.81,21.955,57.19,50.105
AT3G56620,UMAMIT10,Unknown,1.44,0.75,0.965,0.585,2.785,4.21
AT3G56630,CYP94D2,Unknown,3.82,4.095,1.695,2.095,4.695,4.455
AT3G56710,SIB1,AP1_AP3,69.645,40.1,23.045,30.365,10.415,6.845
AT3G56750,AT3G56750,Unknown,25.255,26.645,24.61,30.26,14.81,14.75
AT3G56800,CAM3,Unknown,360.45,237.26,129.87,289.84,83.73,95.26
AT3G56810,AT3G56810,Unknown,11.72,11.98,9.47,12.505,26.34,20.39
AT3G56820,AT3G56820,Unknown,18.84,12.63,17,16.62,8.795,8.445
AT3G56880,AT3G56880,AP1_AP3,834,654.355,774.135,667.61,377.66,273.925
AT3G56891,AT3G56891,Unknown,0,0,0,0.14,0.26,0.07
AT3G56950,SIP2;1,Unknown,48.355,47.3,32.71,26.13,22.635,28.355
AT3G56960,PIP5K4,Unknown,1.425,3.025,3.87,3.28,5.77,4.245
AT3G56980,ORG3,Unknown,2.165,0.715,0,0.695,0.15,0.1
AT3G56990,EDA7,Unknown,10.25,13.61,18.42,16.72,23.69,22.67
AT3G57030,AT3G57030,Unknown,38.45,27.67,20.585,35.27,15.51,19.305
