Gene	Name	Cluster	AP1_S4	AP1_S6	AP3_S4	AP3_S6	AG_S4	AG_S6
AT5G55050	AT5G55050	AG	0.61	0.735	0.785	0.44	2.665	2.41
AT5G61270	PIF7	AG	0.35	0.48	0.545	0.44	1.675	2.615
AT5G61420	PMG1	AG	2.74	3.395	4.625	3.775	10.095	12.86
AT5G61480	TDR	AG	14.595	14.69	14.07	12.755	30.27	39.675
AT5G62940	HCA2	AG	2.17	2.925	3.93	2.85	5.26	5.91
AT5G64330	RPT3	AG	4.115	4.55	6.28	4.055	12.825	12.06
AT5G65380	AT5G65380	AG	5.755	11.19	10.865	7.005	12.58	15.895
AT5G66640	DAR3	AG	0.2	0.255	0.215	0.25	1.09	0.54
AT1G01240	AT1G01240	AP1_AP3	14.09	14.28	8.93	15.75	3.13	6.59
AT1G01360	RCAR1	AP1_AP3	85.265	108.775	73.08	89.545	16.245	27.565
AT1G01725	AT1G01725	AP1_AP3	72.05	72.64	48.875	49.51	13.505	13.945
AT1G02610	AT1G02610	AP1_AP3	8.245	6.16	3.065	5.52	0.07	0.75
AT1G05575	AT1G05575	AP1_AP3	3.46	2.36	1.905	2.285	0.13	0.07
AT1G08180	AT1G08180	AP1_AP3	15.215	11.32	5.285	11.44	1.72	3.365
AT1G08890	AT1G08890	AP1_AP3	0.685	0.825	0.735	1.51	0.135	0.285
AT1G10140	AT1G10140	AP1_AP3	8.685	7.525	2.1	5.14	0.615	0.525
AT1G11210	AT1G11210	AP1_AP3	24.985	21.06	25.68	21.075	9.555	8.555
AT1G13600	bZIP58	AP1_AP3	28.01	26.325	14.845	19.48	3.11	4.93
AT1G13700	PGL1	AP1_AP3	27.325	21.01	35.785	33.2	3.665	7.665
AT1G13930	AT1G13930	AP1_AP3	1307.345	750.125	330.435	536.46	127.23	162.46
AT1G15330	AT1G15330	AP1_AP3	6.965	7.605	8.915	22.045	0.08	1.325
AT1G15670	KMD2	AP1_AP3	95.32	78.98	81.25	88.04	20.26	29.605
AT1G16840	AT1G16840	AP1_AP3	61.81	51.125	50.27	49.99	24.07	22.485
AT1G18290	AT1G18290	AP1_AP3	0.725	0.85	0.38	0.535	0.035	0.2
AT1G21000	AT1G21000	AP1_AP3	48.71	52.66	20.915	35.185	6.81	9.64
AT1G21410	SKP2A	AP1_AP3	48.71	47.51	31.73	46.185	15.225	19.25
AT1G23390	AT1G23390	AP1_AP3	62.37	78.62	103.045	71.345	23.71	34.72
AT1G24130	AT1G24130	AP1_AP3	0.665	1.12	0.255	0.35	0.025	0
AT1G24260	SEP3	AP1_AP3	146.69	171.49	133.16	269.005	64.855	68.475
AT1G25230	AT1G25230	AP1_AP3	11.62	9.865	5.33	5.095	1.53	2.42
AT1G25560	TEM1	AP1_AP3	88.945	69.165	133.6	167.395	39.4	24.78
AT1G27290	AT1G27290	AP1_AP3	58.025	84.35	59.99	50.16	18.145	18.765
AT1G28330	DYL1	AP1_AP3	2206.415	3224.39	1401.62	2511.235	187.065	357.035
