"Gene","Module","CSE.1","CSE.2","CSE.3","CZ.1","CZ.2","CZ.3","ESR.1","ESR.2","ESR.3","BETL.1","BETL.2","BETL.3","AL.1","AL.2","AL.3","EMB.1","EMB.2","EMB.3","NU","PC","PE","PED"
"GRMZM2G054193","M13",0.633516,3.11018,1.79716,1.23445,2.21885,1.61781,0,1.18513,0.317532,0,1.2622,0.695331,0.604016,1.12667,0.337772,1.92363,1.07845,0.503645,2.37689,7.69384,11.1077,2.21111
"GRMZM2G054201","M12",10.7947,5.49753,9.44626,1.62281,1.45e-05,1.1096,3.74e-05,1.06824,0.642825,1.1623,1.48591,1.21472,9.61809,22.7313,16.6594,8.45186,13.3539,17.2604,0.000127797,0,13.2255,0.75297
"GRMZM2G054207","M11",0,0,0.451998,0,0,0.714183,0,3.69208,2.51724,0,0,0,0,0.617352,0,2.90728,0.000541513,0,1.29521,16.5512,1.37434,4.56363
"GRMZM2G054211","M16",0,0,0,0,0,0,1.84239,2.55461,0,0,0,0,0,0,0,0,5.40324,0,0,6.32715,0,3.09917
"GRMZM2G054224","M18",40.08,44.5186,40.7922,126.247,105.452,122.978,289.328,237.536,172.798,291.486,275.401,297.468,4.65582,6.95089,2.49606,14.9753,9.74516,13.8298,0.745523,2.27103,0.440945,1.75208
"GRMZM2G054252","M4",10.1507,3.13372,9.71966,0.206277,0.843492,6.19e-05,0,0,1.08891,0,0,0,0,0,0.62228,0.65262,0.0021651,0.481542,21.4014,7.07359,11.6678,3.41947
"GRMZM2G054273","M17",3.4837,1.58959,0,3.70138,9.04097,1.90775,3.4044,5.35298,9.12176,6.65e-05,2.85e-05,1.77e-05,0,0.000883229,10.1329,5.23488,3.17296,0.0139002,0,0,0.00131655,0.000281112
"GRMZM2G054359","M18",0,0,0,0.659338,5.05367,5.91806,0.59328,16.4795,6.93995,567.29,439.302,683.083,0,0.749852,0,0,0,0,0,3.89342,0,0
"GRMZM2G054371","M18",1.01475,1.24369,0.763817,1.12366,0.821677,1.27001,0.884064,4.49326,2.03047,7.59691,5.50758,3.32824,1.88911,1.38468,0.430284,0.209632,0.253204,1.48689,0.245032,0,1.29822,1.14465
"GRMZM2G054415","M7",0,0.454465,0.297132,0.140397,0.189834,0,0.377444,0.168306,0.401386,1.55517,0.13843,0,1.25282,0.434533,1.89279,6.8762,3.75709,6.32934,1.97917,0.69809,5.26882,2.01867
"GRMZM2G054430","M10",4.88954,10.0226,3.74098,4.06818,4.80702,0,6.45673,0,0,3.27331,0,4.4177,0,0,3.09492,0,0,0,0,0,0,0
"GRMZM2G054458","M6",1.47193,3.92592,3.37891,3.39484,2.47618,6.25565,0.837889,1.15486,1.35708,1.59936,2.60577,6.98042,1.71786,4.33348,5.02061,14.2033,5.62441,6.46714,1.85558,0,33.8517,18.2883
