Cluster	AG	AP1	AP2	AP3	BLR	PI	SEP3	LFY	JAG	ETT	RGA
AP1	1.39065	1.71566	1.34228	1.29072	4.82556	1.52403	1.00899	0.874049	1.53412	1.53409	0.900651
AP1	1.48211	1.39466	4.48862	0.847397	6.46234	1.46409	1.10786	1.39601	3.07272	3.70868	0.83377
AP1	2.21103	1.63326	2.03314	4.27107	2.53764	3.21481	1.8845	2.62968	2.00147	1.33616	7.13483
AP1	2.18711	2.43725	0.496814	2.00885	1.75675	2.46949	4.64857	0.934369	1.7407	1.25374	1.69052
AP1	14.0407	6.66211	3.46564	7.18294	1.44203	6.49045	5.67681	2.39725	1.63186	5.2275	1.55561
AP1	1.84251	1.27547	0.919087	2.25872	3.85989	2.04772	1.24509	1.23635	3.97461	1.34686	17.616
AP1	2.4572	1.63326	1.04099	1.80241	3.6832	1.1535	0.788507	3.90839	4.2609	1.53409	2.47838
AP1	1.01006	3.88756	3.1578	2.44214	1.08727	1.99288	2.85138	2.19797	2.26057	0.855455	1.57174
AP1	2.26813	0.898853	2.24229	4.57879	2.29677	2.84374	1.56673	1.12517	1.2764	1.21173	4.4812
AP1	1.31142	0.973738	2.24229	1.1414	1.24065	1.47981	1.29092	12.5291	0.935912	1.97809	2.73178
AP1	2.75352	1.50135	1.63103	1.28497	1.31031	1.10983	2.36211	3.57429	3.3425	1.4934	3.51449
AP1	0.58344	1.89316	1.04099	0.985396	3.17947	0.736345	1.22682	0	1.39838	2.55695	1.51167
AP1	2.35553	1.48343	1.01294	2.43516	2.94107	1.39299	1.54122	1.66224	1.97868	2.05048	1.30482
AP1	1.79694	1.18307	0.360593	2.34037	1.82762	2.58214	2.06159	3.75384	0.57987	1.16977	1.75284
AP1	1.44505	0.724988	0.834162	0.974939	0.812495	1.14149	0.763283	9.14661	1.32855	2.19653	1.91286
AP1	4.18833	2.28037	1.80499	4.89667	5.10042	6.31693	4.21492	1.5556	1.28275	2.12719	4.8978
AP1	1.01006	1.01607	0.84783	0.998401	1.004	1.38049	4.98098	0	1.93529	0.607453	0.675341
AP1	0.89829	0.896991	1.66376	2.49352	1.57744	2.52101	0.937284	0.665504	1.0958	0.711986	0.603718
AP1	0.952112	1.04711	1.16417	1.67388	1.93524	0.814275	0.764808	0	1.90874	1.21623	1.02259
AP1	2.66118	0.696763	4.6621	1.68288	1.48368	2.01898	1.34058	3.14956	0.786693	2.45793	1.86956
AP1	1.32958	0.855274	3.07274	0.941327	8.64965	1.39529	1.13228	0	5.21997	5.90002	2.88702
AG	3.34543	3.11031	2.92476	2.47938	0.859951	2.76711	4.86525	0	1.20826	4.91694	2.19582
AG	1.3058	1.07249	7.53882	1.20851	1.03439	1.59182	1.27551	2.19797	2.6702	0.655382	0.774302
AG	3.51573	1.34074	0.577375	2.20914	3.77851	3.13019	3.17984	1.90604	1.1069	0.985921	0.609317
AG	5.95795	1.38564	3.32361	13.0096	1.38591	15.3585	2.88624	0	1.34059	1.65963	3.51519
AG	2.48221	1.14342	1.07228	1.18818	1.05472	1.4093	1.77108	0	1.16843	1.46295	2.21209
AG	3.24274	1.90649	2.87888	3.29706	1.29477	2.61934	2.75106	0.650673	1.53695	2.02303	3.25627
AG	2.40517	3.64274	8.58505	1.38993	0.973892	1.52496	3.61984	1.17574	2.17393	4.43972	1.10648
AG	1.13964	1.38564	1.04099	0.844294	1.57523	1.17081	2.53865	0.972698	2.19621	1.52402	2.94953
AG	0.92632	0.761229	1.27026	0.643713	1.19385	0.78184	1.04588	3.90839	1.80327	2.0877	0.876989
AG	1.12543	2.27327	4.10107	1.63903	1.06266	2.23346	1.76724	2.7454	1.06488	1.43828	2.19582
AG	2.90119	10.4969	21.2037	1.80241	2.04667	2.0018	12.6822	0	2.78677	2.04099	2.42144
AG	4.14703	4.987	4.09232	1.72741	3.68071	2.34334	4.8424	2.81345	8.14005	7.41845	3.71876
AG	0.848665	0.696763	1.19444	3.51844	0.866176	3.35786	1.07238	2.39725	1.50899	0.469136	0.873932
AG	0.867576	1.67628	0.749006	1.0554	2.07199	1.19598	0.849813	1.06499	0.815748	1.22875	1.72776
AG	2.36319	0.53796	1.65415	1.87309	1.3119	1.59182	0.944258	1.17574	5.69188	1.04093	4.97929
AG	1.36046	1.16317	3.09841	1.0725	0.732467	1.09631	5.49153	1.4628	1.30474	1.12678	3.44111
AG	2.01675	1.88421	10.6662	2.21213	0.958292	2.12046	2.1723	1.34526	4.76093	4.67791	1.77609
AG	0.903092	0.954073	0.64491	0.569498	1.08739	0.768786	1.27184	1.79985	1.50248	4.35612	1.83924
AG	2.62987	4.55427	2.60626	0.347723	0.723878	0.302624	1.76724	1.39601	0.666596	0.617599	0.470929
AG	1.33811	2.62886	13.5304	2.34404	0.687196	2.6779	2.1315	2.03725	1.5486	2.20697	2.32394
AG	1.27794	1.39041	1.80499	1.82956	1.9729	1.12592	1.50261	1.17574	2.03335	2.58035	1.70568
AG	1.44505	1.44514	2.47634	0.464829	1.96966	0.441568	1.01303	2.32582	1.19609	1.17525	3.5318
AG	0.879661	0.979963	1.60974	1.38993	1.54098	1.00649	0.875983	1.34526	1.87325	1.72322	2.99626
AG	2.2343	2.03345	2.99904	2.20694	1.54948	2.65887	1.91487	3.74803	4.28613	1.58286	3.10936
AG	5.54456	5.53067	2.99904	3.83002	2.13994	4.45817	6.17873	1.39601	2.61544	2.54808	1.9026
AG	2.95335	1.48662	1.27026	1.77301	1.83831	1.8353	1.97206	1.90604	1.34234	2.62883	0.834937
AG	4.52399	3.80253	2.47634	2.88726	1.66932	7.10322	3.35904	1.23635	1.04457	1.67148	0.763385
AG	0.905615	0.558998	0.705296	1.11762	0.680111	0.970082	0.738297	4.18709	0.613803	0.406552	1.66398
AG	0.566406	0.735546	1.04099	1.84279	0.626923	1.75178	1.20885	5.99018	0.943727	1.16977	6.591
AG	4.10537	6.76128	1.95627	1.35082	2.48715	1.63536	14.9399	4.75182	2.60087	2.48562	3.94524
AG	0.827508	0.663409	1.80499	0.993471	2.41764	0.748077	1.18418	1.10526	1.12282	1.84343	1.24869
AG	5.7133	2.31877	1.16417	5.74764	0.719097	2.62961	4.83906	0	1.74937	2.30298	0.848681
AG	1.16703	1.63326	0.762202	1.69266	1.66686	2.88909	1.16908	1.32821	1.45688	0.428625	1.84048
AG	0.460311	5.42521	2.77812	0.595325	4.47387	0.918178	5.50058	0	6.49393	1.57005	0.762783
AG	0.775076	3.96978	1.08477	1.72918	5.07154	2.47905	2.3453	0.934369	3.59589	1.65738	2.89254
AG	4.94751	0.937435	2.08579	9.59292	1.25131	10.7213	1.74266	1.03516	1.19418	2.07099	2.06732
AG	2.40517	0.687486	0.749006	2.67606	1.06594	2.19376	0.708539	0.603959	0.61538	1.39156	2.37752
AG	1.64984	1.53607	1.38814	0.536012	0.772743	0.594552	1.0231	3.14956	0.548558	0.711343	0.376965
AG	3.01996	5.98307	8.26796	2.47674	2.5565	2.9229	8.11088	0	3.02195	1.82982	2.96862
AG	1.06335	2.53628	1.48178	1.08248	1.16916	0.795772	1.39125	0	3.64336	7.65259	11.7035
