Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-583	BIG	Burbank		S. lycopersicum				53,294,210 	6.1258	87.75%	98.017%
TS-584	BIG	Caro Rich		S. lycopersicum				61,433,112 	6.742	87.94%	98.229%
TS-585	CER	Chocolate Cherry		S. lycopersicum var cerasiforme				65,492,472 	7.389	87.87%	98.151%
TS-586	BIG	Christmas Grapes		S. lycopersicum				49,044,082 	5.5785	87.13%	97.325%
TS-587	BIG	Double Rich		S. lycopersicum				53,367,544 	6.1016	88.23%	98.553%
TS-588	BIG	Dr. Wyche's Yellow		S. lycopersicum				64,084,342 	6.8444	88.07%	98.375%
TS-589	BIG	Druzba		S. lycopersicum				53,538,524 	6.2034	86.92%	97.090%
TS-590	CER	Gardener's Delight		S. lycopersicum var cerasiforme				56,229,754 	6.4162	86.37%	96.476%
TS-591	BIG	Georgia Streak		S. lycopersicum				56,007,038 	6.4509	87.35%	97.570%
TS-592	BIG	German Johnson Pink		S. lycopersicum				53,718,272 	6.0239	87.52%	97.760%
TS-593	BIG	German Red Strawberry		S. lycopersicum				62,327,018 	6.8862	88.20%	98.520%
TS-594	CER	Gold Currant		S. lycopersicum var cerasiforme				74,821,924 	8.4202	87.77%	98.040%
TS-595	BIG	Golden Jubilee		S. lycopersicum				85,428,046 	9.7549	88.85%	99.246%
TS-596	BIG	Golden Ponderosa		S. lycopersicum				55,052,126 	6.168	87.49%	97.727%
TS-597	BIG	Great White Beefsteak		S. lycopersicum				79,209,562 	8.9326	88.52%	98.877%
TS-598	CER	Green Grape		S. lycopersicum var cerasiforme				57,724,124 	6.3877	87.50%	97.738%
TS-599	BIG	Jaune Flammee		S. lycopersicum				49,443,886 	5.4085	88.13%	98.442%
TS-600	BIG	Kellogg's Breakfast		S. lycopersicum				48,859,948 	5.4855	87.32%	97.537%
TS-601	CER	LA1673		S. lycopersicum var cerasiforme				54,229,620 	6.1756	85.60%	95.616%
TS-602	BIG	Lillian's Yellow Heirloom		S. lycopersicum				54,819,360 	6.1776	86.65%	96.789%
TS-603	BIG	Marvel Striped		S. lycopersicum				50,219,232 	5.6566	87.44%	97.671%
TS-604	BIG	Mule Team		S. lycopersicum				76,015,826 	8.603	88.52%	98.877%
TS-605	BIG	Old German		S. lycopersicum				68,407,158 	7.0208	87.82%	98.095%
TS-606	BIG	Omar's Lebanese		S. lycopersicum				55,519,882 	6.1039	87.82%	98.095%
TS-607	BIG	Orange Strawberry		S. lycopersicum				53,524,088 	6.1305	87.54%	97.783%
TS-608	BIG	Paul Robeson		S. lycopersicum				63,061,748 	7.1188	88.12%	98.431%
TS-609	BIG	Pineapple		S. lycopersicum				49,531,882 	5.6516	87.06%	97.247%
TS-610	CER	Pink Ping Pong		S. lycopersicum var cerasiforme				105,875,262 	11.5688	89.15%	99.581%
TS-611	BIG	Prize of the Trials Cherry		S. lycopersicum				54,990,554 	6.1396	88.06%	98.364%
TS-612	BIG	Prudens Purple		S. lycopersicum				48,500,606 	5.4037	87.28%	97.492%
TS-613	BIG	Rainbow		S. lycopersicum				52,582,744 	5.9769	87.18%	97.381%
TS-614	CER	Red Currant		S. lycopersicum var cerasiforme				48,294,974 	5.5023	85.22%	95.191%
TS-615	CER	Red Fig Tomato		S. lycopersicum var cerasiforme				62,069,744 	7.0298	87.98%	98.274%
TS-616	BIG	Red Star		S. lycopersicum				59,868,988 	6.9517	88.05%	98.352%
TS-617	BIG	Red Zebra		S. lycopersicum				53,660,440 	6.2058	87.59%	97.839%
TS-618	CER	Riesentraube		S. lycopersicum var cerasiforme				59,817,888 	6.7322	88.19%	98.509%
TS-619	BIG	Silvery Fir Tree		S. lycopersicum				52,289,016 	5.9484	87.75%	98.017%
TS-620	BIG	Snowberry		S. lycopersicum				67,880,490 	7.67	88.27%	98.598%
TS-621	BIG	Soldacki		S. lycopersicum				61,813,152 	7.0872	87.14%	97.336%
TS-622	BIG	Sub-Arctic Plenty		S. lycopersicum				63,396,644 	7.2721	86.91%	97.079%
TS-623	CER	Sugar Lump		S. lycopersicum var cerasiforme				54,284,302 	6.1115	85.43%	95.426%
TS-624	BIG	Vintage Wine		S. lycopersicum				58,082,914 	6.6673	87.69%	97.950%
TS-625	BIG	Wapsipinicon Peach		S. lycopersicum				115,731,588 	13.0174	89.09%	99.514%
TS-626	BIG	White Wonder		S. lycopersicum				51,699,826 	5.8835	86.92%	97.090%
TS-627	BIG	Yellow Brandywine		S. lycopersicum				55,176,080 	6.299	86.63%	96.766%
TS-628	CER	Yellow Cherry		S. lycopersicum var cerasiforme				68,713,724 	7.4629	87.60%	97.850%
TS-629	BIG	Yellow Pear		S. lycopersicum				48,551,752 	5.4814	86.26%	96.353%
TS-630	BIG	Florida47		S. lycopersicum				57,019,308 	6.0041	88.10%	98.408%
TS-631	BIG	Celebrity VFFNTA Hybrid	F1	S. lycopersicum				51,251,762 	4.9841	86.80%	96.956%
TS-632	BIG	Mountain Spring VFF Hybrid	F1	S. lycopersicum				56,913,482 	6.4718	87.57%	97.816%
TS-633	BIG	Bush Early Girl VFFNT Hybrid	F1	S. lycopersicum				53,371,110 	6.0167	86.83%	96.990%
TS-634	BIG	BHN 589 VFFT Hybrid	F1	S. lycopersicum				55,231,392 	6.3204	87.50%	97.738%
TS-635	BIG	Tasti-Lee VFFF Hybrid	F1	S. lycopersicum				56,937,932 	6.5331	87.81%	98.084%
TS-636	BIG	Better Boy Hybrid	F1	S. lycopersicum				52,699,952 	6.009	87.18%	97.381%
TS-637	BIG	Better Bush VFN Hybrid	F1	S. lycopersicum				57,849,674 	6.7221	87.92%	98.207%
TS-638	BIG	Solar Fire VFFF Hybrid	F1	S. lycopersicum				55,965,968 	6.3176	88.11%	98.419%
TS-639	BIG	Orangnic Paul Robeson Heriloom		S. lycopersicum				55,743,446 	6.2667	87.75%	98.017%
TS-640	BIG	FL8059		S. lycopersicum				131,501,442 	14.3254	88.86%	99.257%
TS-641	BIG	Cuore_de_Toro		S. lycopersicum				40,068,946 	4.6097	87.98%	98.274%
TS-642	BIG	John_Baer		S. lycopersicum				43,467,316 	5.4895	88.09%	98.397%
TS-643	BIG	Livingstons_Paragon		S. lycopersicum				43,661,134 	2.2217	79.10%	88.355%
TS-644	BIG	Moonglow		S. lycopersicum				41,173,962 	3.5519	85.86%	95.906%
TS-645	BIG	Orange_Oxheart		S. lycopersicum				38,613,076 	5.0458	87.93%	98.218%
