Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-1	BIG	VF-36	Vintage Processing	S. lycopersicum	LA0490	-	-	68,472,300 	5.8254	88.12%	98.431%
TS-2	BIG	Moneymaker	Vintage Fresh Market	S. lycopersicum	LA2706	-	-	62,502,494 	5.2707	87.32%	97.537%
TS-3	BIG	M-82	Modern Processing	S. lycopersicum	LA3475	-	-	69,720,100 	5.8907	87.18%	97.381%
TS-4	BIG	Hawaii 7998	Inbreed line	S. lycopersicum	LA3856	-	-	65,393,300 	5.4853	86.94%	97.112%
TS-5	BIG	Edkawi	Vintage Fresh Market	S. lycopersicum	LA2711	-	-	69,605,530 	5.8852	87.96%	98.252%
TS-6	BIG	San Marzano	Vintage Processing	S. lycopersicum	LA3008	-	-	55,910,236 	4.7695	86.93%	97.101%
TS-7	BIG	Micro-Tom	Modern Fresh Market	S. lycopersicum	LA3911	-	-	64,531,690 	5.3326	87.43%	97.660%
TS-8	BIG	E-6203	Modern Processing	S. lycopersicum	LA4024	-	-	65,523,874 	5.5115	87.68%	97.939%
TS-9	BIG	Ailsa Craig 	Vintage Fresh Market	S. lycopersicum	LA2838A 	-	-	63,997,944 	5.411	87.96%	98.252%
TS-10	BIG	Marglobe 	Vintage Fresh Market	S. lycopersicum	LA0502	-	-	77,360,494 	8.1202	88.55%	98.911%
TS-11	BIG	KR2     	Modern Fresh Market	S. lycopersicum	-	-	-	63,430,340 	5.3004	85.80%	95.839%
TS-12	BIG	yoku improvement	Modern Fresh Market	S. lycopersicum	-	-	-	63,957,942 	5.3068	86.09%	96.163%
TS-13	CER	Pime-Bruce	Wild  species	S. lycopersicum var cerasiforme	-	-	-	63,934,450 	5.3178	86.50%	96.621%
TS-14	PIM	Chota to EI Angel	Wild  species	S. pimpinellifolium	LA1547	-	-	65,481,502 	5.3511	86.85%	97.012%
TS-15	PIM		Wild  species	S. pimpinellifolium	LA2093	-	-	52,109,856 	5.2165	85.45%	95.448%
TS-16	PIM		Wild  species	S. pimpinellifolium	LA1246	PI365912	-	65,006,088 	5.3401	85.85%	95.895%
TS-17	PIM	Culebras	Wild  species	S. pimpinellifolium	LA0373	-	-	63,976,088 	5.1574	85.41%	95.403%
TS-18	PIM		Wild  species	S. pimpinellifolium	LA1579	-	-	65,976,876 	5.3075	85.51%	95.515%
TS-19	PIM		Wild  species	S. pimpinellifolium	LA1589	PI407545 	EA01467	64,819,780 	5.2881	85.18%	95.147%
TS-20	PIM	Sechin	Wild  species	S. pimpinellifolium	LA0442	-	-	64,546,466 	5.2866	86.99%	97.168%
TS-21	PIM		Wild  species	S. pimpinellifolium	LA1375	PI365967?	-	64,068,574 	5.1693	85.18%	95.147%
TS-22	PIM	Pisiquillo	Wild  species	S. pimpinellifolium	LA1269	PI365957	-	62,122,502 	5.1008	85.05%	95.001%
TS-23	PIM	EI Pinon, Asia	Wild  species	S. pimpinellifolium	LA1521	-	-	63,112,012 	5.1888	84.25%	94.108%
TS-24	PIM		Wild  species	S. pimpinellifolium	-	-	-	41,980,064 	4.2057	83.43%	93.192%
TS-25	CER	Clémentine	cultivar	S. lycopersicum var cerasiforme	-	-	-	83,580,736 	8.109	88.92%	99.324%
TS-26	CER		cultivar	S. lycopersicum var cerasiforme	-	-	-	85,422,988 	8.258	88.28%	98.609%
TS-27	CER	N135 Green Gage	cultivar	S. lycopersicum var cerasiforme	-	-	-	97,764,692 	9.7612	88.81%	99.201%
TS-28	CER	N 347 Yablochnyi		S. lycopersicum var cerasiforme	-	-	-	96,788,950 	9.5616	89.01%	99.425%
TS-29	CER		cultivar	S. lycopersicum var cerasiforme	-	-	-	89,078,370 	8.3856	88.83%	99.224%
TS-30	CER		Wild  species	S. lycopersicum var cerasiforme	LA1204	-	-	78,732,444 	7.493	88.59%	98.956%
TS-31	CER		Wild  species	S. lycopersicum var cerasiforme	LA1464	-	-	98,342,460 	9.3974	88.70%	99.078%
TS-32	CER	Santa Cruz	Latin American cultivar 	S. lycopersicum var cerasiforme	LA0172	-	-	113,985,276 	10.8236	88.85%	99.246%
TS-33	CER		Wild  species	S. lycopersicum var cerasiforme	LA2137	-	-	101,390,534 	10.0377	88.71%	99.090%
TS-34	CER		Wild  species	S. lycopersicum var cerasiforme	LA2675	-	-	81,776,504 	8.2102	87.82%	98.095%
TS-35	CER	tomate Richters	uncertain	S. lycopersicum var cerasiforme	-	-	-	84,313,148 	8.5471	88.55%	98.911%
TS-36	CER		cultivar	S. lycopersicum var cerasiforme	-	PI187002-1	-	97,805,822 	9.8318	88.45%	98.799%
TS-37	CER	L. pimpinellifolium atypique, site 10 (F300045)	Wild  Species	S. lycopersicum var cerasiforme	-	-	-	96,751,942 	9.1283	87.19%	97.392%
TS-38	CER		cultivar	S. lycopersicum var cerasiforme	-	PI129088	-	97,265,988 	9.2276	88.89%	99.291%
TS-39	CER	Cerise Gold	cultivar	S. lycopersicum var cerasiforme	-	-	-	100,992,938 	9.5083	87.32%	97.537%
TS-40	CER	Cerise VFNT	cultivar	S. lycopersicum var cerasiforme	-	-	-	96,438,726 	9.2466	85.95%	96.007%
TS-41	BIG		Cocktail tomato	S. lycopersicum	-	-	EA02435	65,071,056 	6.679	88.12%	98.431%
TS-42	BIG		Processing tomato	S. lycopersicum	-	PI345565	EA05808	85,469,590 	8.2681	88.64%	99.011%
TS-43	BIG	Moneymaker	Fresh Market	S. lycopersicum	-	-	EA00840	56,625,496 	5.9681	88.04%	98.341%
TS-44	BIG	A pera abruzzese	Landrace	S. lycopersicum	-	-	-	81,299,520 	8.2125	88.25%	98.576%
TS-45	BIG		Processing tomato	S. lycopersicum	-	PI303718	EA05578	53,210,802 	5.6581	86.83%	96.990%
TS-46	BIG		Processing tomato	S. lycopersicum	-	-	EA01237	54,156,166 	6.127	88.48%	98.833%
TS-47	BIG		Processing tomato	S. lycopersicum	-	-	EA01960	62,088,334 	6.5957	88.02%	98.319%
TS-48	BIG	Mexico City	Landrace/Latin American cultivar 	S. lycopersicum	LA0146	-	-	60,666,926 	6.7463	87.20%	97.403%
TS-49	BIG	Earliana	Vintage Processing	S. lycopersicum	LA3238	-	-	69,287,634 	7.0218	72.49%	80.972%
TS-50	PIM		Wild  species	S. pimpinellifolium	LA0417	-	EA00565	59,330,136 	6.5504	81.06%	90.544%
TS-51	BIG			S. lycopersicum	-	-	-	50,478,070 	5.1502	86.14%	96.219%
TS-52	BIG	05-4126 (97-49-2)	cultivar	S. lycopersicum	-	-	-	56,857,510 	5.9246	69.40%	77.520%
TS-53	CER		Wild  species	S. lycopersicum var cerasiforme	LA2095	-	-	69,283,744 	7.5576	87.08%	97.269%
TS-54	CER	cerise rose	cultivar	S. lycopersicum var cerasiforme	-	-	-	45,011,214 	4.4527	79.18%	88.445%
TS-55	BIG			S. lycopersicum	-	-	EA00448	73,593,628 	7.7613	88.01%	98.308%
TS-56	CER		 Wild  species 	S. lycopersicum var cerasiforme	LA1320	PI365923	-	71,710,842 	6.8039	86.53%	96.655%
TS-57	CER		 Wild  species 	S. lycopersicum var cerasiforme	LA1307	PI378998	-	74,463,356 	7.0242	87.25%	97.459%
TS-58	BIG		Processing tomato	S. lycopersicum	-	-	EA03577	85,682,298 	7.3232	87.70%	97.961%
TS-59	BIG		Processing tomato	S. lycopersicum	-	-	EA02898	73,493,652 	6.9788	86.40%	96.509%
TS-60	BIG	New Yorker	Vintage Fresh Market	S. lycopersicum	LA2009	-	-	59,477,338 	5.5217	85.90%	95.951%
TS-61	CER	Huayvaruni	 Wild  species 	S. lycopersicum var cerasiforme	LA2670	-	-	63,407,210 	7.1526	84.28%	94.141%
TS-62	CER			S. lycopersicum var cerasiforme	-	-	EA02959	81,559,528 	8.0156	66.86%	74.683%
TS-63	CER			S. lycopersicum var cerasiforme	-	-	-	70,357,056 	5.3688	86.79%	96.945%
TS-64	CER		Cocktail tomato	S. lycopersicum var cerasiforme	-	-	EA03525	57,437,096 	4.7135	82.58%	92.242%
TS-65	CER		Wild  species 	S. lycopersicum var cerasiforme	LA1482	-	-	62,419,658 	6.9849	84.60%	94.499%
TS-66	CER	H707	Wild  species 	S. lycopersicum var cerasiforme	LA1388	PI379009	-	77,233,048 	5.9786	85.32%	95.303%
TS-67	CER		Cocktail tomato	S. lycopersicum var cerasiforme	-	-	EA02304	74,546,458 	5.595	87.28%	97.492%
TS-68	BIG	Chiclayo	Latin American cultivar 	S. lycopersicum	LA0395	-	-	116,140,234 	11.5625	73.27%	81.843%
TS-69	BIG	Huachinango	Latin American cultivar 	S. lycopersicum	LA1459	-	-	56,886,284 	6.5377	87.97%	98.263%
TS-70	CER	Pyriforme	cultivar	S. lycopersicum var cerasiforme	-	-	-	133,873,154 	10.6091	86.45%	96.565%
TS-71	CER	Ohmiya SunCerise	cultivar	S. lycopersicum var cerasiforme	-	-	-	75,435,124 	8.0568	87.97%	98.263%
TS-72	CER	Principe Borghese	Vintage cultivar	S. lycopersicum var cerasiforme	-	-	-	71,451,034 	6.2085	87.88%	98.162%
TS-73	BIG	Quarantino		S. lycopersicum	-	-	-	71,429,396 	6.2906	85.10%	95.057%
TS-74	BIG	N 739 	Fresh Market	S. lycopersicum	-	-	-	52,529,048 	5.6604	85.77%	95.806%
TS-75	CER	Poire jaune	cultivar	S. lycopersicum var cerasiforme	-	-	-	75,924,840 	8.296	88.45%	98.799%
TS-76	BIG		Processing tomato	S. lycopersicum	-	-	EA01230	70,742,738 	7.7369	88.19%	98.509%
TS-77	PIM	Atacames	Wild  species	S. pimpinellifolium	LA1237	PI365910	-	67,822,650 	7.2395	84.65%	94.555%
TS-78	BIG		Processing tomato	S. lycopersicum	-	-	EA02895	77,136,148 	8.5296	87.88%	98.162%
TS-79	PIM	Piedras Gordas	Wild  species	S. pimpinellifolium	LA1924	-	-	93,633,548 	10.34	82.67%	92.343%
TS-80	BIG		Processing tomato	S. lycopersicum	-	-	EA01020	69,929,440 	6.8232	78.02%	87.149%
TS-81	BIG		Processing tomato	S. lycopersicum	-	-	EA02761	62,710,734 	6.7521	87.82%	98.095%
TS-82	BIG		Processing tomato	S. lycopersicum	-	-	EA03274	59,350,092 	5.2529	72.12%	80.558%
TS-83	CER		cultivar	S. lycopersicum var cerasiforme	-	-	EA01953	92,863,932 	9.0876	88.48%	98.833%
TS-84	CER			S. lycopersicum var cerasiforme	-	-	-	87,392,250 	8.4165	87.88%	98.162%
TS-85	BIG			S. lycopersicum	-	-	-	82,892,088 	7.0858	87.83%	98.107%
TS-86	BIG			S. lycopersicum	-	-	EA01684	146,008,028 	14.2071	85.17%	95.135%
TS-87	CER	Trujillo	Latin American cultivar; Wild  species 	S. lycopersicum var cerasiforme	LA1701	-	-	52,171,082 	3.8017	66.39%	74.158%
TS-88	BIG		Cocktail tomato	S. lycopersicum	-	-	EA01804	157,844,510 	12.0905	86.78%	96.934%
TS-89	BIG		Processing tomato	S. lycopersicum	-	-	EA01185	75,644,902 	5.8669	86.94%	97.112%
TS-90	BIG		Cocktail tomato	S. lycopersicum	-	-	EA02753	96,080,442 	6.229	87.46%	97.693%
TS-91	CER	N 2759 Enano	cultivar	S. lycopersicum var cerasiforme	-	-	-	106,035,852 	8.0963	58.03%	64.820%
TS-92	PIM	Punto Cuatro	Wild  species	S. pimpinellifolium	LA1582	PI407539	-	38,226,706 	3.988	48.39%	54.052%
TS-93	BIG		Processing tomato	S. lycopersicum	-	-	EA01002	65,581,324 	4.9125	86.68%	96.822%
TS-94	CER	Farthest North	cultivar	S. lycopersicum var cerasiforme	-	-	-	200,312,588 	12.9541	78.19%	87.339%
TS-95	BIG	Moneymaker	Fresh Market	S. lycopersicum	-	-	-	71,410,822 	7.9998	88.60%	98.967%
TS-96	CER		Wild  species 	S. lycopersicum var cerasiforme	LA1456	-	-	130,328,904 	8.2308	39.56%	44.189%
TS-97	CER	Tiny tim		S. lycopersicum var cerasiforme	LA0154	-	-	160,001,688 	14.5707	69.41%	77.531%
TS-98	CER	Gold Nugget 	cultivar	S. lycopersicum var cerasiforme	LA4355	-	-	72,267,094 	7.7071	72.84%	81.363%
TS-99	CER	Celsior		S. lycopersicum var cerasiforme	-	-	-	84,708,160 	4.4803	85.70%	95.727%
TS-100	BIG		Processing	S. lycopersicum	-	-	EA03456	94,401,622 	9.9494	88.74%	99.123%
TS-101	BIG			S. lycopersicum	-	-	EA00369	157,011,856 	8.3735	38.87%	43.418%
TS-102	BIG		Processing tomato	S. lycopersicum	-	-	EA03673	120,665,740 	9.6834	87.57%	97.816%
TS-103	BIG			S. lycopersicum	-	-	EA00389	76,915,638 	5.8259	87.18%	97.381%
TS-104	BIG		Processing tomato	S. lycopersicum	-	-	EA01756	74,457,306 	4.6343	85.85%	95.895%
TS-105	CER		Wild  species	S. lycopersicum var cerasiforme	-	-	EA01448	84,271,796 	5.3659	86.37%	96.476%
TS-106	CER		cultivar	S. lycopersicum var cerasiforme	-	-	-	71,493,570 	5.0956	86.75%	96.900%
TS-107	CER	Turrialba	Wild  species	S. lycopersicum var cerasiforme	LA1542	-	-	80,934,656 	4.6553	40.79%	45.563%
TS-108	BIG	Puno I	Processing tomato	S. lycopersicum	-	-	EA01989	46,368,620 	4.4455	71.20%	79.531%
TS-109	CER		Cocktail tomato	S. lycopersicum var cerasiforme	-	-	EA02660	83,550,734 	5.2282	87.00%	97.180%
TS-110	BIG			S. lycopersicum	-	 PI93302	EA04243	67,089,134 	4.1858	84.63%	94.532%
TS-111	BIG		Processing tomato	S. lycopersicum	-	-	EA01270	133,528,034 	9.7822	85.72%	95.750%
TS-112	BIG		Processing tomato	S. lycopersicum	-	-	EA03083	95,361,760 	5.6974	88.08%	98.386%
TS-113	BIG		Processing tomato	S. lycopersicum	-	-	EA01198	72,790,178 	4.2885	85.93%	95.984%
TS-114	BIG		Processing tomato	S. lycopersicum	-	-	EA01982	55,009,360 	3.4527	83.25%	92.991%
TS-115	BIG		Processing tomato	S. lycopersicum	-	-	EA03426	82,205,732 	8.6181	80.97%	90.444%
TS-116	CER	N1565	cultivar	S. lycopersicum var cerasiforme	-	-	-	66,599,846 	7.05	78.01%	87.138%
TS-117	BIG	Scatolone di bolsena	Landrace	S. lycopersicum	-	-	-	57,220,364 	4.4021	85.67%	95.694%
TS-118	CER	Santa Cruz, Galapagos	Latin American cultivar;Wild  species 	S. lycopersicum var cerasiforme	LA0292	-	-	72,467,098 	7.6195	78.17%	87.316%
TS-119	CER	Wva 106	Wild  species 	S. lycopersicum var cerasiforme	-	-	-	156,216,070 	13.3971	68.93%	76.995%
TS-120	CER			S. lycopersicum var cerasiforme	-	-	EA01356	79,286,898 	8.9211	88.51%	98.866%
TS-121	BIG	NC EBR-6 	Modern Fresh Market	S. lycopersicum	LA3846	-	-	110,067,678 	11.1165	79.12%	88.377%
TS-122	BIG	Rutgers?	Vintage Fresh Market	S. lycopersicum	LA1090	-	-	138,179,422 	6.4361	37.65%	42.055%
TS-123	PIM	Trujillo	Wild  species	S. pimpinellifolium	LA0722	-	-	54,037,828 	5.8604	71.50%	79.866%
TS-124	PIM	Santa Rosa	Wild  species	S. pimpinellifolium	LA1245	PI365911 	-	71,569,300 	5.9329	51.82%	57.883%
TS-125	BIG		Processing tomato	S. lycopersicum	-	-	EA00422	52,612,642 	3.4896	83.19%	92.924%
TS-126	BIG			S. lycopersicum	-	-	EA01903	132,186,610 	6.9354	58.56%	65.412%
TS-127	BIG	Hacienda Calera	Landrace/Latin American cultivar 	S. lycopersicum	LA0113	-	-	52,521,640 	5.9521	86.46%	96.576%
TS-128	BIG	Pearson?	Vintage Processing	S. lycopersicum	LA0012	-	-	64,024,138 	7.2346	87.64%	97.894%
TS-129	CER	Moyobamba	"Latin American cultivar; Wild  species "	S. lycopersicum var cerasiforme	LA2845	-	-	55,832,850 	6.3213	86.79%	96.945%
TS-130	BIG	Severianin 	Modern Fresh Market	S. lycopersicum	LA2413	-	-	70,565,626 	5.3202	47.50%	53.058%
TS-131	CER	Cuba Plum	cultivar	S. lycopersicum var cerasiforme	LA1162	-	-	51,146,752 	5.8109	86.86%	97.023%
TS-132	BIG	Primabel	Vintage Fresh Market	S. lycopersicum	LA3903	-	-	61,267,678 	6.6572	88.14%	98.453%
TS-133	BIG	Peto95-43	Modern Processing	S. lycopersicum	LA3528	-	-	57,222,504 	2.8201	78.39%	87.562%
TS-134	CER	La Estancilla	Wild  species	S. lycopersicum var cerasiforme	LA1429	-	-	79,863,784 	4.242	64.79%	72.371%
TS-135	BIG	Hacienda Rosario	Landrace/Latin American cultivar 	S. lycopersicum	LA0466	PI 258469 	-	63,896,106 	7.1636	87.91%	98.196%
TS-136	BIG	Vito		S. lycopersicum	-	-	-	54,258,968 	4.8304	62.66%	69.992%
TS-137	BIG	Spagnoletta	Landrace	S. lycopersicum	-	-	-	93,547,146 	6.1974	87.38%	97.604%
TS-138	CER	Malintka 101	cultivar	S. lycopersicum var cerasiforme	-	-	-	73,194,822 	7.9003	87.58%	97.827%
TS-139	BIG	Red Setter	Vintage cultivar	S. lycopersicum	-	-	-	84,181,326 	7.9995	88.35%	98.687%
TS-140	BIG	149-77	cultivar	S. lycopersicum	-	-	-	67,836,802 	7.6139	88.12%	98.431%
TS-141	BIG	Saladette	cultivar	S. lycopersicum	-	-	-	95,956,264 	8.7485	88.31%	98.643%
TS-142	BIG	Roma	Vintage cultivar	S. lycopersicum	-	-	-	85,414,094 	7.5641	88.00%	98.297%
TS-143	BIG	Florida 7547 	Modern Fresh Market	S. lycopersicum	LA4025	-	-	49,022,168 	5.1819	56.70%	63.334%
TS-144	PIM	Pichilingue	Wild  species	S. pimpinellifolium	LA0411	PI251319 	-	70,423,850 	6.793	63.45%	70.874%
TS-145	PIM	Tumbes south	Wild  species	S. pimpinellifolium	LA1617	-	-	54,998,974 	5.8933	61.70%	68.919%
TS-146	wild			S. neorickii	LA2133	-	-	72,422,372 	6.8499	75.04%	83.820%
TS-147	BIG			S. lycopersicum	LA3130	-	-	132,071,096 	9.6008	85.60%	95.616%
TS-148	CER	Pfacchayoc	Wild  species	S. lycopersicum var cerasiforme	LA1323	PI365924?	-	56,909,216 	6.4695	85.99%	96.051%
TS-149	CER	Villa Hermosa	"Latin American cultivar "	S. lycopersicum var cerasiforme	LA1425	PI379060	-	71,224,666 	5.4853	51.98%	58.062%
TS-150	BIG	Tarapoto	Landrace/Latin American cultivar 	S. lycopersicum	LA2285	-	-	102,724,970 	14.5142	88.04%	98.341%
TS-151	BIG	T-5 	Modern Fresh Market	S. lycopersicum	LA2399	-	-	50,186,838 	5.7027	83.64%	93.426%
TS-152	BIG	Santa Cruz B	Landrace/Latin American cultivar 	S. lycopersicum	LA1021	-	-	54,160,902 	6.1663	87.08%	97.269%
TS-153	BIG	Xol Languna	Landrace/Latin American cultivar 	S. lycopersicum	LA1544	-	-	76,024,050 	7.8749	61.92%	69.165%
TS-154	CER	Muna	Wild  species	S. lycopersicum var cerasiforme	LA1623	-	-	67,258,956 	7.566	87.92%	98.207%
TS-155	BIG	Condine Red	Vintage Fresh Market,Monogenic	S. lycopersicum	LA0533	-	-	71,782,510 	5.4235	65.69%	73.376%
TS-156	PIM	Balsa Huaico	Wild  species	S. pimpinellifolium	LA2181	-	-	75,024,060 	7.0881	85.44%	95.437%
TS-157	BIG		Processing tomato	S. lycopersicum	-	-	EA03648	73,561,956 	3.5448	79.82%	89.159%
TS-158	CER	 PE-67 	Wild  species	S. lycopersicum var cerasiforme	LA2626 	-	EA01541	99,386,408 	10.3573	88.02%	98.319%
TS-159	BIG		Processing tomato	S. lycopersicum	-	-	EA03028	75,768,318 	6.3421	87.66%	97.917%
TS-160	BIG		Processing tomato	S. lycopersicum	-	-	EA03533	75,938,378 	7.2438	87.89%	98.174%
TS-161	BIG		Processing tomato	S. lycopersicum	-	-	EA02586	75,152,676 	6.4736	87.82%	98.095%
TS-162	BIG		Processing tomato	S. lycopersicum	-	-	EA03463	64,922,132 	4.434	86.05%	96.118%
TS-163	BIG	Marmande	Vintage Fresh Market	S. lycopersicum	LA1504	-	-	50,300,060 	5.8007	86.91%	97.079%
TS-164	PIM	Jayanca to La Vina	Wild  species	S. pimpinellifolium	LA1584	PI407541 	-	165,616,234 	12.6465	63.03%	70.405%
TS-165	CER	Veracruz	Latin American cultivar 	S. lycopersicum var cerasiforme	LA1218	-	-	66,263,978 	6.6964	88.56%	98.922%
TS-166	BIG	Piura	Landrace/Latin American cultivar 	S. lycopersicum	LA0404	-	-	59,410,570 	6.2424	65.29%	72.929%
TS-167	BIG	Tegucigalpa	Landrace/Latin American cultivar 	S. lycopersicum	LA0147	-	-	63,663,508 	5.2112	78.52%	87.707%
TS-168	BIG	Da appendere	Landrace	S. lycopersicum	-	-	-	69,754,534 	5.3999	86.93%	97.101%
TS-169	BIG	Cuor di bue di Albenga	Landrace	S. lycopersicum	-	-	-	71,531,324 	4.1554	85.70%	95.727%
TS-170	BIG	Cuor di bue	Landrace	S. lycopersicum	-	-	-	61,607,356 	4.7196	86.99%	97.168%
TS-171	BIG	UC-82	Modern Processing	S. lycopersicum	LA1706	-	-	71,064,976 	7.718	77.73%	86.825%
TS-172	BIG		Processing tomato	S. lycopersicum	-	PI280060	EA05480	77,059,246 	6.5869	87.78%	98.051%
TS-173	BIG			S. lycopersicum	-	-	EA03611	76,064,792 	7.3113	88.02%	98.319%
TS-174	BIG		Processing tomato	S. lycopersicum	-	-	EA00304	81,109,984 	6.7697	87.48%	97.716%
TS-175	BIG		Processing tomato	S. lycopersicum	-	-	EA03586	71,666,832 	5.5541	83.91%	93.728%
TS-176	BIG		Processing tomato	S. lycopersicum	-	-	EA02669	88,868,716 	7.0343	69.87%	78.045%
TS-177	BIG		Processing tomato	S. lycopersicum	-	-	EA01155	65,041,094 	5.3497	86.32%	96.420%
TS-178	BIG		Processing tomato	S. lycopersicum	-	PI513036	EA06485	82,227,160 	3.9378	83.83%	93.639%
TS-179	BIG		Processing tomato	S. lycopersicum	-	-	EA01027	136,199,312 	9.9611	85.58%	95.593%
TS-180	BIG		Processing tomato	S. lycopersicum	-	-	EA02728	59,464,058 	4.1308	84.73%	94.644%
TS-181	CER		Wild  species	S. lycopersicum var cerasiforme	LA1457 	-	EA01438	167,172,210 	11.3255	84.08%	93.918%
TS-182	PIM	Corral Quemado	Wild  species	S. pimpinellifolium	LA2183	-	-	54,723,482 	4.3114	70.61%	78.872%
TS-183	BIG		Processing tomato	S. lycopersicum	-	-	EA02764	87,302,494 	4.0767	84.76%	94.677%
TS-184	BIG	Tarapoto		S. lycopersicum	LA2283	-	-	55,301,888 	5.1601	87.14%	97.336%
TS-185	BIG	B-L-35	Vintage Fresh Market	S. lycopersicum	LA4347	-	-	130,475,878 	8.1241	53.99%	60.307%
TS-186	BIG	Rowpac	Modern Processing	S. lycopersicum	LA3214	-	-	63,934,804 	6.9198	87.07%	97.258%
TS-187	CER	Monplaisir	cultivar	S. lycopersicum var cerasiforme	-	-	-	68,708,862 	5.0868	86.06%	96.130%
TS-188	BIG	Stone	Vintage Fresh Market	S. lycopersicum	LA1506	-	-	191,316,854 	14.2023	75.43%	84.256%
TS-189	CER	Nagcarlang	cultivar	S. lycopersicum var cerasiforme	-	-	-	67,287,894 	5.9728	87.36%	97.582%
TS-190	BIG	Santa Chiara	cultivar	S. lycopersicum	-	-	-	74,274,986 	6.3044	87.28%	97.492%
TS-191	BIG	Francescano	Landrace	S. lycopersicum	-	-	-	66,893,864 	6.6704	87.73%	97.995%
TS-192	BIG	Severianin	Vintage cultivar	S. lycopersicum	-	-	-	73,420,040 	6.2453	87.97%	98.263%
TS-193	BIG	Pantano dArdea	Landrace	S. lycopersicum	-	-	-	64,645,842 	6.2253	87.03%	97.213%
TS-194	BIG			S. lycopersicum	LA3238	-	-	61,176,084 	5.5466	86.20%	96.286%
TS-195	BIG	Ace 	Vintage Fresh Market	S. lycopersicum	LA0516	-	-	93,844,718 	5.6925	20.66%	23.077%
TS-196	BIG	N020212	Processing tomato	S. lycopersicum	-	-	EA00240	64,236,996 	7.0696	64.07%	71.567%
TS-197	BIG	Libanese	Landrace	S. lycopersicum	-	-	-	76,457,448 	6.0806	86.96%	97.135%
TS-198	BIG			S. lycopersicum	-	-	EA00512	61,229,566 	4.8539	86.02%	96.085%
TS-199	wild			S. cheesmaniae	LA0746	-	EA00587	89,149,358 	9.8915	86.57%	96.699%
TS-200	BIG	Hot set	cultivar	S. lycopersicum	LA3320	-	-	140,838,910 	10.6664	86.11%	96.185%
TS-201	BIG	San Salvador	Landrace/Latin American cultivar	S. lycopersicum	LA1210	-	-	58,173,846 	5.6949	87.70%	97.961%
TS-202	CER		Latin American cultivar 	S. lycopersicum var cerasiforme	LA2402	-	-	71,433,412 	6.6892	70.05%	78.246%
TS-203	BIG	Bell pepper-like	Landrace	S. lycopersicum	-	-	-	57,041,632 	5.6665	87.27%	97.481%
TS-204	BIG	Florida 7060 	Modern Fresh Market	S. lycopersicum	LA3840	-	-	89,203,206 	9.1242	88.68%	99.056%
TS-205	CER	8 bis	cultivar	S. lycopersicum var cerasiforme	-	-	-	85,874,472 	4.8315	85.05%	95.001%
TS-206	BIG	Prince Borghese 	Vintage Fresh Market	S. lycopersicum	LA0089	-	-	81,564,120 	5.395	24.90%	27.813%
TS-207	wild			S. cheesmaniae	LA1037	-	-	73,314,578 	7.9635	86.09%	96.163%
TS-208	wild	Santa Cruz: Academy Bay		S. galapagense	LA0528	-	-	48,786,292 	5.4862	84.47%	94.353%
TS-209	CER	Da serbo	landrace	S. lycopersicum var cerasiforme	-	-	-	123,613,310 	9.0552	84.72%	94.633%
TS-210	BIG	NC 265-1 (93)-3-3 	Modern Fresh Market	S. lycopersicum	LA3625	-	-	93,539,654 	8.8113	87.35%	97.570%
TS-211	BIG	NC 84173 	Modern Fresh Market	S. lycopersicum	LA4354	-	-	56,525,612 	6.2606	85.36%	95.348%
TS-212	BIG	Flora-Dade	Modern Fresh Market	S. lycopersicum	LA3242	-	-	116,570,046 	12.0459	88.78%	99.168%
TS-213	CER			S. lycopersicum var cerasiforme	-	-	EA01784	64,143,832 	6.9908	87.52%	97.760%
TS-214	BIG	Panama	Landrace	S. lycopersicum	-	-	-	71,645,676 	7.7591	71.49%	79.855%
TS-215	BIG	Vrbikanske Nizke	cultivar	S. lycopersicum	-	-	-	146,528,968 	8.7552	83.50%	93.270%
TS-216	CER	Phyra	cultivar	S. lycopersicum var cerasiforme	-	-	-	53,330,592 	5.5976	84.07%	93.907%
TS-217	wild			S. cheesmaniae	LA0429	-	EA00568	62,621,512 	2.4883	65.98%	73.700%
TS-218	BIG	Santa Clara 5800	cultivar	S. lycopersicum	-	-	-	48,120,346 	5.41	86.80%	96.956%
TS-219	CER	Mobalcon	landrace	S. lycopersicum var cerasiforme	-	-	-	61,507,622 	2.4268	73.76%	82.390%
TS-220	BIG	Barnaulski Konservnyi	cultivar	S. lycopersicum	-	-	-	98,012,356 	3.9552	78.89%	88.121%
TS-221	CER	Jalapa	Wild  species 	S. lycopersicum var cerasiforme	LA1569	-	-	57,794,504 	5.7897	83.34%	93.091%
TS-222	PIM	Wva 700	Wild  species	S. pimpinellifolium	-	-	-	71,034,348 	7.6353	70.09%	78.291%
TS-223	CER		Wild  species 	S. lycopersicum var cerasiforme	LA2675 	-	EA01557	213,094,074 	15.5594	71.25%	79.587%
TS-224	BIG	Guayaquil	Landrace/Latin American cultivar 	S. lycopersicum	LA0410	PI 258474 	-	52,215,106 	5.6741	84.73%	94.644%
TS-225	BIG		Processing tomato	S. lycopersicum	-	PI330336	EA05747	87,336,388 	3.9006	80.99%	90.466%
TS-226	BIG	Microtom	cultivar	S. lycopersicum	-	-	-	62,549,946 	3.9662	44.06%	49.215%
