plant	genotype	day	volume.fluo.iap	side.area (px)	top.area (px)	side.height (px)
1121KN216	Eunova	13.340366	141665.448	4606.5	5253	202.5
1121KN226	Streif	13.345498	47149.94967	4343.5	979	260.5
1121KN227	Streif	13.346012	70137.76877	4697.5	2078	256.5
1121KN228	Streif	13.346535	71714.45553	2462.5	7240	42
1121KN229	Streif	13.347049	99021.89862	4648.5	3155	236.5
1121KN230	Streif	13.347562	66901.29574	4317.5	2169	266.5
1121KN231	Streif	13.348073	83557.44032	2836.5	6814	50
1121KN232	Streif	13.348585	105672.1233	3951	5577	156.5
1121KN233	Streif	13.349098	90581.55936	3407	5364	137.5
1121KN234	Streif	13.34961	86335.36412	3422	4585	160
1121KN244	Ursa	13.354733	100410.0073	3513.5	6289	112
1121KN245	Ursa	13.355243	114209.4286	3527.5	6868	91
1121KN246	Ursa	13.355755	83138.62186	2816.5	6907	64.5
1121KN247	Ursa	13.356265	104978.7062	3671	5700	141
1121KN248	Ursa	13.356774	63880.78847	4207.5	1809	251
1121KN249	Ursa	13.357287	68106.10545	3236.5	3784	144
1121KN250	Ursa	13.357798	90242.18618	3649.5	4144	146
1121KN251	Ursa	13.358308	36818.23947	2854.5	1363	207
1121KN252	Ursa	13.358818	48578.88167	3150	1709	214.5
1121KN105	Franken	13.367806	93408.3135	3088.5	7530	96
1121KN106	Franken	13.368273	89062.43625	2532.5	6423	52
1121KN107	Franken	13.368718	86215.30785	2939	5720	66.5
1121KN108	Franken	13.369226	65914.17252	2246	6442	33
1121KN118	Intensiv	13.37432	110521.9194	3356	7997	108
1121KN119	Intensiv	13.37483	67647.38812	2706	4968	134
1121KN120	Intensiv	13.375338	NA	NA	NA	NA
1121KN121	Intensiv	13.375847	95597.92416	2961.5	7034	69.5
1121KN122	Intensiv	13.376354	100936.9381	3246	6335	83.5
1121KN123	Intensiv	13.376863	74981.34609	2883	5642	149
1121KN124	Intensiv	13.377377	77514.73847	2605.5	6675	84.5
1121KN125	Intensiv	13.377987	87006.07742	3053	5237	107.5
1121KN126	Intensiv	13.378511	93259.09071	3674.5	5438	175
1121KN136	Bavaria	13.383614	68722.54116	3694.5	3273	208.5
1121KN137	Bavaria	13.384123	7817.882418	1455	731	119
1121KN138	Bavaria	13.38463	43303.60688	3013.5	2095	220
1121KN139	Bavaria	13.385136	49081.51717	3709.5	1210	226
1121KN140	Bavaria	13.385643	75028.83032	3310.5	4125	209
1121KN141	Bavaria	13.386149	99613.2722	4437.5	5146	160.5
1121KN142	Bavaria	13.386656	38877.60908	2900	1325	194.5
1121KN143	Bavaria	13.387166	60423.84731	2939.5	4246	107.5
1121KN144	Bavaria	13.387672	50204.66882	3718	1436	260.5
1121KN154	BarkeCS	13.392745	32136.4692	3310.5	779	203.5
1121KN155	BarkeCS	13.393258	25475.89785	2859	540	168
1121KN156	BarkeCS	13.393764	54018.15282	3599.5	1439	213.5
1121KN010	Apex	13.405098	69206.85759	2857	5920	85
1121KN011	Apex	13.405604	114754.8783	4286	6573	135
1121KN012	Apex	13.406112	95461.41272	3657	4740	166
1121KN013	Apex	13.40662	81569.8428	2859.5	6722	51.5
1121KN014	Apex	13.407128	63467.10807	3413	4487	120.5
1121KN015	Apex	13.407635	62198.34886	2320.5	6742	40
1121KN016	Apex	13.408142	80252.06814	2868.5	6850	44.5
1121KN017	Apex	13.408649	75163.78971	3096	5649	98
1121KN018	Apex	13.409165	71501.51804	2748	5818	78
1121KN028	Isaria	13.414227	92751.32475	3637	5887	119
1121KN029	Isaria	13.414734	65650.42711	3344	4140	159.5
1121KN030	Isaria	13.415239	53830.57035	2988.5	3757	132.5
1121KN031	Isaria	13.415744	68064.80707	3931.5	2436	240
1121KN032	Isaria	13.416251	75865.97469	3087.5	5642	89
1121KN033	Isaria	13.416758	66959.23219	3362	4400	155.5
1121KN034	Isaria	13.417265	90274.10419	3354	6082	127.5
1121KN035	Isaria	13.417786	77880.42951	3979.5	4387	147.5
1121KN036	Isaria	13.418342	92336.32394	3951.5	5210	217.5
1121KN046	Perun	13.422909	118883.6468	3706	7173	93.5
1121KN049	Perun	13.423473	98635.07464	4404.5	5205	124.5
1121KN047	Perun	13.423986	135730.158	4104	6665	130
1121KN048	Perun	13.425008	55918.29397	4097.5	1632	259
1121KN050	Perun	13.425514	96526.63468	4180.5	5102	195.5
1121KN051	Perun	13.42602	60460.35083	3747.5	2027	204.5
1121KN052	Perun	13.426527	82146.93358	3174.5	4830	115
1121KN157	BarkeCS	13.431384	24669.34719	3064	504	196.5
1121KN158	BarkeCS	13.431852	30536	2793	891	186
1121KN159	BarkeCS	13.432296	28450.78031	2900.5	702	182.5
1121KN160	BarkeCS	13.432801	27721.16664	2801	781	184
1121KN161	BarkeCS	13.433305	26017.99401	3072	705	168.5
1121KN162	BarkeCS	13.433811	42305.71424	3028.5	1112	173
1121KN172	Beatrix	13.438877	50531.81192	3683.5	1542	215
1121KN173	Beatrix	13.43939	50905.07017	3941.5	1608	221
1121KN174	Beatrix	13.439895	60277.68447	3878	1995	223
1121KN175	Beatrix	13.440401	41468.01553	3316	1250	231.5
1121KN176	Beatrix	13.440909	49664.36858	3627	1516	207
1121KN177	Beatrix	13.441432	33283.07342	2668	1210	198
1121KN178	Beatrix	13.44194	74089.03913	3921.5	2711	221
1121KN179	Beatrix	13.442447	32765.12097	3084.5	877	225
1121KN180	Beatrix	13.442954	47262.75176	3532	1520	201.5
1121KN190	Djamilia	13.448136	55616.33831	3616	1856	227
1121KN191	Djamilia	13.448642	30946.92632	2904.5	908	207
1121KN192	Djamilia	13.44915	95643.66994	3416	5907	98.5
1121KN193	Djamilia	13.449657	71786.12778	3483	3728	182
1121KN194	Djamilia	13.450163	80722.13161	3633	5024	138
1121KN195	Djamilia	13.450669	32902.33198	4107	746	266.5
1121KN196	Djamilia	13.451175	84411.9552	3696.5	3551	252
1121KN197	Djamilia	13.451683	34118.69905	3297	1183	219
1121KN198	Djamilia	13.45219	31268.04459	3216.5	743	214
1121KN208	Eunova	13.45729	38601.18973	3423	1275	224.5
1121KN262	Victoriana	13.464616	45132.33874	3780.5	907	224
1121KN263	Victoriana	13.465059	89459.12376	3187.5	6329	100.5
1121KN264	Victoriana	13.465564	39558.19339	3783.5	892	244
1121KN265	Victoriana	13.466071	83983.54956	4085	4001	198
1121KN266	Victoriana	13.466576	31879.39748	2953	729	221.5
1121KN267	Victoriana	13.467082	49853.04163	3282	1972	246
1121KN268	Victoriana	13.467588	91215.93183	3647	5085	165.5
1121KN269	Victoriana	13.468094	39713.74775	3790.5	917	264
1121KN270	Victoriana	13.468598	94442.52652	4306.5	3494	222
1121KN280	Wiebke	13.47367	93870.47962	4089.5	2736	282
1121KN281	Wiebke	13.474175	56106.37721	4263	1045	260.5
1121KN282	Wiebke	13.474683	56429.53299	4331	1067	220
1121KN283	Wiebke	13.475189	49141.54027	3863.5	1237	232
1121KN284	Wiebke	13.475695	71593.15169	3774	2163	247.5
1121KN285	Wiebke	13.476202	79918.42918	4431.5	1689	263.5
1121KN286	Wiebke	13.476705	133941.231	3868	7332	118
1121KN287	Wiebke	13.477215	41968.61685	3790.5	1201	257.5
1121KN288	Wiebke	13.477718	56500.08314	3984	1527	246
1121KN295	MorexDH	13.481286	79939.7309	3457.5	4087	201.5
1121KN296	MorexDH	13.481832	94597.43462	2725	8160	51
1121KN297	MorexDH	13.482337	80869.77557	2275	7589	44
1121KN298	MorexDH	13.482841	90472.0586	2137.5	8560	29
1121KN299	MorexDH	13.483347	86581.35601	2664	6427	95
1121KN300	MorexDH	13.483853	43365.85282	2891.5	2569	176
1121KN307	BarkeDH	13.487394	78228.93885	2190.5	6902	28
1121KN308	BarkeDH	13.487914	53938.90232	3297	1885	201
1121KN309	BarkeDH	13.488438	44979.61981	3177	1601	199
1121KN310	BarkeDH	13.488964	119983.3415	3983.5	6193	149.5
1121KN311	BarkeDH	13.489478	55629.65865	3915.5	1353	264
1121KN312	BarkeDH	13.490006	97967.67122	3852.5	5691	192.5
1121KN053	Perun	13.492997	95819.63095	4313.5	5383	112
1121KN054	Perun	13.493464	58522.2583	2291.5	5131	67
1121KN064	Sissy	13.498456	98696.73753	3135.5	6011	63.5
1121KN065	Sissy	13.498962	116519.7091	3965	7041	191.5
1121KN066	Sissy	13.499465	58446.1583	2045	7213	40.5
1121KN067	Sissy	13.499971	86864.469	2908	7756	106.5
1121KN068	Sissy	13.500473	71362.97001	2874.5	5141	166
1121KN069	Sissy	13.50098	69698.93749	2732.5	6787	89.5
1121KN070	Sissy	13.501486	96244.19418	3619.5	7394	111
1121KN071	Sissy	13.501991	90682.26348	3593	7679	123.5
1121KN072	Sissy	13.502495	92119.66402	3435.5	5901	141.5
1121KN082	Trumpf	13.507547	64610.46755	4319.5	1892	255.5
1121KN083	Trumpf	13.508105	128151.0833	4571	5849	185.5
1121KN084	Trumpf	13.508627	108422.0735	4490.5	4413	192.5
1121KN085	Trumpf	13.509237	77850.83249	3046	6903	96
1121KN086	Trumpf	13.510445	57790.10668	2071	6238	85.5
1121KN087	Trumpf	13.511034	85568.64627	3766.5	4335	194.5
1121KN088	Trumpf	13.511543	126619.7677	4188	5268	165
1121KN089	Trumpf	13.512115	91267.46463	2559.5	8027	52.5
1121KN090	Trumpf	13.512622	75620.96238	1948	8546	36.5
1121KN100	Franken	13.517679	61479.70566	3443	2228	224.5
1121KN101	Franken	13.518184	78054.41673	3122.5	5828	123
1121KN102	Franken	13.518688	50158.66856	2950.5	2824	157
1121KN103	Franken	13.519194	129885.6459	4297	6079	170.5
1121KN104	Franken	13.519699	54643.91151	3778.5	1398	234
1121KN244	Ursa	14.344362	109567.8025	4468.571429	3948	220.5714286
1121KN245	Ursa	14.345187	92495.13517	4513.714286	3689	221.7142857
1121KN246	Ursa	14.346013	110965.251	4738.857143	4662	249.8571429
1121KN247	Ursa	14.346835	105259.463	4240	5108	185.5714286
1121KN248	Ursa	14.347661	111643.5115	4236.571429	5248	229.8571429
1121KN249	Ursa	14.348482	78531.9849	3600.571429	4574	201
1121KN250	Ursa	14.349307	110079.9587	4621.714286	3977	230.8571429
1121KN251	Ursa	14.350131	45346.76713	3497	2252	234.5714286
1121KN252	Ursa	14.350957	49990.25859	3186.428571	1520	233.2857143
1121KN010	Apex	14.366314	89984.69863	3871.428571	4925	237.8571429
1121KN011	Apex	14.3672	136793.3666	5162.571429	6361	207.8571429
1121KN012	Apex	14.368032	91855.06446	4118.142857	4907	198.2857143
1121KN013	Apex	14.368877	115308.3265	4422.714286	5185	245
1121KN014	Apex	14.3697	60528.19766	3163.857143	3900	153.8571429
1121KN015	Apex	14.370522	111052.1863	4514.142857	6032	229.5714286
1121KN016	Apex	14.371341	114900.3959	4827.714286	5127	222.8571429
1121KN017	Apex	14.372159	108847.2148	4525.571429	4938	221.1428571
1121KN018	Apex	14.372978	83504.96386	3441.285714	4931	178.2857143
1121KN136	Bavaria	14.389318	84946.33759	3723.857143	4755	167.7142857
1121KN137	Bavaria	14.390139	9151.993533	1637	913	137.8571429
1121KN138	Bavaria	14.390958	78744.40643	3761.857143	4487	226.4285714
1121KN139	Bavaria	14.391778	61003.86201	3757.142857	2659	218.8571429
1121KN140	Bavaria	14.392597	78144.68492	4064.428571	3225	213.1428571
1121KN141	Bavaria	14.393421	110242.3716	4489.285714	5502	226
1121KN142	Bavaria	14.394239	78447.32912	3633.428571	3679	232.1428571
1121KN143	Bavaria	14.395122	60677.70691	3963	2640	192.1428571
1121KN144	Bavaria	14.396102	88111.57143	3597.428571	4773	213.5714286
1121KN154	BarkeCS	14.404387	88775.2901	3625.285714	3333	225
1121KN155	BarkeCS	14.405219	32233.26616	3071.285714	763	207
1121KN156	BarkeCS	14.406036	80850.20616	3846.714286	2813	238.1428571
1121KN157	BarkeCS	14.406947	31625.84185	3229.142857	644	231.8571429
1121KN158	BarkeCS	14.40786	60878.52016	3244	2259	213.2857143
1121KN159	BarkeCS	14.408804	63099.52912	3137.142857	2562	202
1121KN160	BarkeCS	14.40962	72249.82224	3259	3153	200
1121KN161	BarkeCS	14.410438	42734.14635	3241	1400	211.2857143
1121KN162	BarkeCS	14.411255	76855.85728	3398.857143	3317	188.8571429
1121KN172	Beatrix	14.419425	91869.07979	4024	4954	208
1121KN173	Beatrix	14.420242	91563.03115	3909.714286	3787	233.5714286
1121KN174	Beatrix	14.42106	69176.90693	3988.571429	2396	249
1121KN175	Beatrix	14.421888	65696.30363	4122	1829	257.8571429
1121KN176	Beatrix	14.422707	57935.42923	3758.857143	1968	218.7142857
1121KN177	Beatrix	14.423527	29357.4099	3108.571429	960	235
1121KN178	Beatrix	14.424343	82170.85874	4369.714286	2293	247.2857143
1121KN179	Beatrix	14.42516	103514.9261	3642.857143	5232	193
1121KN180	Beatrix	14.425979	60789.78633	3724	2293	230.5714286
1121KN028	Isaria	14.436368	72702.38411	4230.428571	2980	253.4285714
1121KN029	Isaria	14.43706	67680.8951	4291.285714	2881	238.1428571
1121KN030	Isaria	14.437874	56712.12911	3630.571429	2656	225.1428571
1121KN031	Isaria	14.438689	85549.66545	4405.285714	3492	262
1121KN032	Isaria	14.439504	99429.44024	4561.142857	4850	241.1428571
1121KN033	Isaria	14.440323	66243.37142	3684.285714	3180	170
1121KN034	Isaria	14.44114	103967.8302	4452.428571	4567	206.5714286
1121KN035	Isaria	14.441958	87756.89189	4574.428571	3285	205.2857143
1121KN036	Isaria	14.442773	90961.85138	4511.428571	3990	237
1121KN046	Perun	14.450205	106721.8661	4639.285714	4973	255.8571429
1121KN049	Perun	14.451023	85016.20497	4593	3397	231.1428571
1121KN047	Perun	14.45184	123426.373	4609.142857	5614	220.2857143
1121KN048	Perun	14.453538	50106.91448	4575.857143	1347	264.5714286
1121KN050	Perun	14.454429	114079.2658	4243.428571	6349	185.4285714
1121KN051	Perun	14.455246	72412.57576	3947.285714	3181	213.4285714
1121KN052	Perun	14.45606	63325.73433	3889.714286	2452	201.4285714
1121KN209	Eunova	14.456959	105354.5726	4654.857143	3363	285.1428571
1121KN210	Eunova	14.457777	101397.5202	4619	4188	260
1121KN211	Eunova	14.458596	121373.1338	5004.714286	4965	247.7142857
1121KN212	Eunova	14.459414	40413.56059	2762.285714	2339	171.5714286
1121KN213	Eunova	14.460234	83945.71429	3986.428571	4232	234.4285714
1121KN214	Eunova	14.461054	91964.59274	4165	4389	216.8571429
1121KN215	Eunova	14.461873	97022.47768	4746.714286	4263	250.1428571
1121KN216	Eunova	14.462691	148503.3409	5446.428571	6180	230.2857143
1121KN226	Streif	14.470865	93835.02399	4687	3304	283.1428571
1121KN227	Streif	14.471684	103327.142	4870.142857	3740	301.5714286
1121KN228	Streif	14.472503	107173.5832	4939.857143	4334	280
1121KN229	Streif	14.473421	136920.6953	4870.142857	6181	228.8571429
1121KN230	Streif	14.474238	110742.6194	4435.428571	4210	291.1428571
1121KN231	Streif	14.475054	114922.1008	4869.428571	4677	256.4285714
1121KN232	Streif	14.475874	129711.2772	4530.285714	5697	249.4285714
1121KN233	Streif	14.476691	116273.3822	4492.857143	5623	238.8571429
1121KN234	Streif	14.477509	111082.6056	4744.714286	4923	274.5714286
1121KN190	Djamilia	14.489011	65357.60308	3859.571429	2484	244.8571429
1121KN191	Djamilia	14.489827	55628.50539	3455.428571	2304	250
1121KN192	Djamilia	14.490645	96483.69782	3826	5514	218.4285714
1121KN193	Djamilia	14.491462	106891.0412	4888.571429	4421	255.2857143
1121KN194	Djamilia	14.492278	94076.63358	4290.285714	4232	236
1121KN195	Djamilia	14.493099	116605.6413	4620.285714	5440	254.5714286
1121KN196	Djamilia	14.493917	99568.875	4495	4276	254.7142857
1121KN197	Djamilia	14.494732	60247.95683	3359.857143	3694	227.4285714
1121KN198	Djamilia	14.495552	79214.667	3665.142857	3862	229.7142857
1121KN208	Eunova	14.503973	52214.55839	3058.285714	3414	206.4285714
1121KN105	Franken	14.504819	144358.5683	4170	8761	143.8571429
1121KN106	Franken	14.505644	115025.8846	4058.714286	5842	191.5714286
1121KN107	Franken	14.506501	82488.14757	3543.428571	4448	205.1428571
1121KN108	Franken	14.507333	118946.5944	4360.714286	5709	199.4285714
1121KN118	Intensiv	14.515501	147571.1398	4717.285714	7879	191.1428571
1121KN119	Intensiv	14.516315	107524.8476	3884.714286	6171	159.5714286
1121KN120	Intensiv	14.517131	NA	NA	NA	NA
1121KN121	Intensiv	14.517948	113578.3066	4344.714286	6374	170.8571429
1121KN122	Intensiv	14.518761	95494.14223	3878	5740	153.2857143
1121KN123	Intensiv	14.519575	93267.28179	3845.571429	7196	173.2857143
1121KN124	Intensiv	14.520393	112877.7713	4191.142857	5626	176.4285714
1121KN125	Intensiv	14.521273	108033.5662	4220.857143	5905	176.8571429
1121KN126	Intensiv	14.522092	107724.4076	4299	5863	217.2857143
1121KN287	Wiebke	14.533139	81288.70242	4246.142857	2986	284.7142857
1121KN288	Wiebke	14.533845	81591.25298	4043.571429	2742	276.1428571
1121KN295	MorexDH	14.539438	86315.6828	3622.428571	4749	227.5714286
1121KN296	MorexDH	14.540253	135351.8839	4910.857143	5368	272.1428571
1121KN297	MorexDH	14.541069	143555.4773	4462.571429	7000	227.8571429
1121KN298	MorexDH	14.541884	137816.4927	5147.285714	5248	226
