plant,group,day,fw_biomass,dw_biomass,height_above_bound,sv_area,tv_area,extent_x,extent_y,height_width_ratio,tiller_count
Dp2AA01109,B100,11.48178241,0,0,2.186574422,2883.351999,3513.971795,2.867300421,2.186574422,0.762589928,3.555107128
Dr1AA000207,R20,11.48262731,0.036104507,0,5.744914872,8163.295207,4572.719625,4.837280207,5.744914872,1.187633262,2.668139575
Dp2AB000122,B100,11.48347222,0,0,2.279400694,3434.100549,3935.292621,3.217977451,2.279400694,0.708333333,3.678438742
Dr5AC000646,R128,11.48431713,0,0,3.310803724,3729.805686,3398.067725,3.022010875,3.310803724,1.09556314,2.833110374
Dr6AA000703,R133,11.48516204,0,0,4.816652146,3812.218291,3019.85922,2.877614451,4.816652146,1.673835125,1.567768952
Dr8AB000924,R187,11.48600694,0,0,3.475828208,5086.164672,4132.429379,3.434572087,3.475828208,1.012012012,3.027227668
Dr8AC000955,R187,11.48685185,0,0,2.46505324,3481.297194,3322.371566,2.991068785,2.46505324,0.824137931,3.425295177
Dr1AD000165,R20,11.48769676,0.046209008,0,5.507692176,8432.40685,5407.918728,4.579429449,5.507692176,1.202702703,2.637369378
Dr8AE000990,R187,11.48854167,0,0,2.640391755,3597.836604,2766.631064,3.465514178,2.640391755,0.761904762,3.562505503
Dr2AB000322,R70,11.49107639,0,0,3.156093269,2924.649064,3433.82826,2.12469024,3.156093269,1.485436893,1.972905551
Dp2AC000147,B100,11.49190972,0,0,3.692422844,4217.292578,4297.254588,2.960126694,3.692422844,1.24738676,2.504744439
Dr5AD000672,R128,11.49275463,0,0,2.650705785,3146.20101,4381.663973,2.557879512,2.650705785,1.036290323,2.958059604
Dp2AE000182,B100,11.49359954,0,0,2.939498633,3453.342258,3718.732627,2.444425179,2.939498633,1.202531646,2.596639901
Dp2AA01103,B100,11.49447917,0,0,1.990607846,2623.588922,3304.945113,2.650705785,1.990607846,0.750972763,3.578396369
Dr5AA000607,R128,11.49532407,0,0,2.104062179,3172.431454,4136.785992,3.207663421,2.104062179,0.655948553,3.790965557
Dr1AB000223,R20,11.49616898,0,0,2.784788179,2089.994538,1567.200924,1.361451998,2.784788179,2.045454545,0.739957965
Dr7AC000844,R161,11.49700231,0,0,2.021549937,2441.518785,3612.812463,2.361912937,2.021549937,0.855895197,3.34718465
Dr3AD000478,R98,11.49784722,0,0,1.144857362,778.109314,889.8382963,1.113915271,1.144857362,1.027777778,2.957146826
Dr2AE000381,R70,11.49869213,0,0,3.372687905,5256.617174,5389.493884,3.991529723,3.372687905,0.84496124,3.394362221
Dp1AA000012,A10,11.49954861,0,0,3.640852693,3256.568551,2074.292577,2.269086664,3.640852693,1.604545455,1.714879046
Dr4AA000519,R102,11.50038194,0,0,3.53771239,5740.382792,4247.607347,3.857447329,3.53771239,0.917112299,3.240394206
Dr2AB000321,R70,11.50123843,0,0,3.156093269,3889.003603,3073.590786,3.073581027,3.156093269,1.026845638,2.984869134
Dr8AC000948,R187,11.50208333,0,0,4.527859298,5978.181276,4313.138074,3.279861633,4.527859298,1.380503145,2.227846998
Dr6AD000780,R133,11.50292824,0,0,4.713511843,4953.741776,3591.392447,3.042638936,4.713511843,1.549152542,1.850162572
Dr3AE000488,R98,11.50378472,0,0,4.672255722,4967.991533,3682.336752,4.311264662,4.672255722,1.083732057,2.869234057
Dr8AA000912,R187,11.50547454,0,0,2.949812663,4433.12647,3461.783197,3.269547602,2.949812663,0.902208202,3.262232155
Dr4AB000531,R102,11.50633102,0,0,2.423797118,2800.576343,2845.866971,1.918409634,2.423797118,1.26344086,2.45790139
Dr3AC000453,R98,11.50716435,0,0,5.270469479,6723.071412,4151.3988,4.723825873,5.270469479,1.115720524,2.813689922
Dp1AD000077,A10,11.50800926,0,0,3.063266997,3981.037062,3672.625135,3.981215692,3.063266997,0.769430052,3.549193702
Dp2AE000196,B100,11.50888889,0,0,2.898242512,3250.487445,2925.193641,2.537251452,2.898242512,1.142276423,2.726883157
Dp1AA01012,A10,11.5097338,0,0,4.981676631,4773.214607,2596.450851,2.83635833,4.981676631,1.756363636,1.395021097
Dr2AD000379,R70,11.57613426,0,0,4.104984056,5512.1144,4065.991024,3.496456269,4.104984056,1.174041298,2.676010264
Dr7AE000896,R161,11.57686343,0,0,2.269086664,2565.591506,2537.818095,2.671333845,2.269086664,0.849420849,3.362383326
Dr2AA000306,R70,11.57854167,0,0,4.063727935,5515.472622,3451.617765,3.372687905,4.063727935,1.204892966,2.608493847
